clip_id,frame_id,legacy_region_tr_hand_pve_mm,legacy_region_tr_left_hand_pve_mm,legacy_region_tr_right_hand_pve_mm,root_aligned_body_mpjpe_mm,root_aligned_body_pve_mm,root_aligned_hand_pve_mm,root_aligned_left_hand_pve_mm,root_aligned_right_hand_pve_mm,wrist_aligned_hand_pve_mm,wrist_aligned_left_hand_pve_mm,wrist_aligned_right_hand_pve_mm
Muell,116,9.020255957800945,,9.020255957800945,59.54109317543426,82.88741022411278,89.00670951473872,,89.00670951473872,11.018979927609008,,11.018979927609008
Muell,118,9.740882602391215,,9.740882602391215,59.678642943798515,84.49021511261586,83.2454648208299,,83.2454648208299,12.949241213637698,,12.949241213637698
Muell,120,10.07454946816496,,10.07454946816496,58.23641484637981,82.34269469013695,72.48136586025976,,72.48136586025976,11.382915680470216,,11.382915680470216
Muell,122,11.29280520493625,,11.29280520493625,62.33904549477742,91.12207344850462,79.61115715010155,,79.61115715010155,12.942939716947636,,12.942939716947636
Muell,124,11.250674369824576,,11.250674369824576,59.731468362700866,89.7036932415134,75.64629480827632,,75.64629480827632,12.504399818976948,,12.504399818976948
Muell,126,10.821622293961385,,10.821622293961385,54.262937430116274,73.34599202197036,85.26641402887324,,85.26641402887324,15.045373408134575,,15.045373408134575
Muell,128,9.58491069424851,,9.58491069424851,71.28441760172944,104.21099360867261,122.68741535857761,,122.68741535857761,21.107159301557907,,21.107159301557907
Muell,130,17.26693878647808,,17.26693878647808,63.68012503567551,94.38373944140086,117.47000963114859,,117.47000963114859,20.385983248912012,,20.385983248912012
Muell,132,17.459035451604333,,17.459035451604333,62.53296068024983,95.01362272505988,93.78543289328324,,93.78543289328324,21.168790427101328,,21.168790427101328
Muell,134,15.105900460265769,,15.105900460265769,54.96371670270554,82.05774307588918,91.84807181807246,,91.84807181807246,24.22145790741971,,24.22145790741971
Muell,136,14.788586131852703,,14.788586131852703,45.621522471408944,69.25753788395664,82.00502253275468,,82.00502253275468,22.99201380345981,,22.99201380345981
Muell,138,17.44602561191787,,17.44602561191787,58.1023437549514,91.42846099204397,104.54024349092535,,104.54024349092535,24.122788010221498,,24.122788010221498
Muell,140,26.873664405339245,,26.873664405339245,50.999311554088685,82.12440811765262,107.39518829218174,,107.39518829218174,36.96735785980086,,36.96735785980086
Muell,142,27.380988422020863,,27.380988422020863,49.01057974274458,81.53160314229379,98.89991626431802,,98.89991626431802,38.331007973694376,,38.331007973694376
Muell,144,26.489613389360077,,26.489613389360077,46.71945714077663,75.9627021386329,94.74411867961334,,94.74411867961334,35.491074606173555,,35.491074606173555
