clip_id,frame_id,legacy_region_tr_left_hand_pve_mm,legacy_region_tr_right_hand_pve_mm,root_aligned_body_pve_mm,root_aligned_left_hand_pve_mm,root_aligned_right_hand_pve_mm,wrist_aligned_left_hand_pve_mm,wrist_aligned_right_hand_pve_mm
Ablehnen,149,12.472519421042119,17.844697994902173,50.96356556265586,61.41987583843443,58.1485100010613,12.98961203371317,34.7025456955715
Ablehnen,151,13.355447626500341,19.777909405185195,49.47803007791336,61.12191398372607,51.69462868348355,14.885201939348628,35.75060803336544
Ablehnen,153,13.667806272955236,13.041844856275329,51.41228291223956,62.97632490444242,61.384608613207156,15.020435434052384,25.518304603885245
Ablehnen,155,14.017176709999958,15.86691186845628,51.98915583497038,65.02639534113551,93.84446509938992,17.843463762961257,25.183567859027796
Ablehnen,157,14.40331667821567,13.525961880318274,55.967565882440404,55.49233147447307,120.47040944276513,20.2706414822313,19.349461134234307
Ablehnen,159,13.81356782246336,8.17880894551631,54.427216776297016,51.90874256836739,117.05858642268231,21.10232950044305,12.666178823735333
Ablehnen,161,15.131716553521672,7.9883813035889695,58.64422454121557,45.52596613607978,114.2441708284833,23.465717617190567,13.51817523629699
Ablehnen,163,14.448455689088151,9.694425697694113,51.9297932251132,43.453320911819965,113.46176981444512,21.370208005021468,14.990831035294015
Ablehnen,165,12.836291437481782,7.272681362739596,56.9769725835906,38.40604575760105,117.27657526999268,19.018303537708242,12.031979998184543
Ablehnen,167,13.037790395707182,7.571904469013527,52.34765010045953,40.8188540316878,111.32017370023405,18.938963503280586,12.50502975476962
Ablehnen,169,14.337392870936029,8.048470882811879,51.94809374464909,39.22275431635357,106.40778658925043,20.57997654880434,13.843358627995402
Ablehnen,171,13.194590268151515,7.503519992166712,51.99713743891179,41.329466750726894,105.43093215943358,18.613275652163665,14.135752502982387
Ablehnen,173,13.729158235554209,7.041516697819345,51.20939292658165,42.64306785135567,108.24800174614336,19.87547495305116,13.738914496028197
Ablehnen,175,13.480124095617533,7.462586763272766,49.74130587213827,42.66070845211902,106.85671194763759,19.705386197236038,14.291558102071019
Akzeptieren,124,7.060563799109251,6.775200264409856,39.565864371371156,64.31975519026476,78.72866943863147,18.174467204943102,17.921638281208732
Akzeptieren,126,7.221611887144349,6.214356421899417,41.86735481716954,67.68505808534289,82.38540638997306,18.72452032422485,15.568205794768536
Akzeptieren,128,7.346017930627739,5.964480447722256,42.332903925857444,64.74404799841999,80.90856507678095,18.400090153607422,13.599228006841248
Akzeptieren,130,8.135161403287494,6.292515930255312,42.128326361875736,62.97120744340116,83.53704349521857,18.956539444987314,13.728713420240444
Akzeptieren,132,9.058365358788409,6.176742042111724,47.01967777594001,78.47750865915981,91.58217074274266,20.670895819132276,11.334092508041442
Akzeptieren,134,8.45232508511392,6.214654839235794,46.266864804792355,75.52626135241994,90.4213693239834,19.85043943063064,9.639602126055918
Akzeptieren,136,8.955426287008924,6.387536639112059,52.09308571283687,89.1557459689203,101.77490663542115,19.661147505495276,8.999510280843777
Akzeptieren,138,9.645854730177154,6.788601436931415,52.740723201894404,98.50609350953405,101.79663830446516,20.430123305777116,8.181502498108197
Akzeptieren,140,9.334833247223852,7.073302373212049,51.907034157490024,80.44334052291106,98.15343887503879,18.496666992967086,7.695621105960316
Akzeptieren,142,9.365153000865654,6.73166525768475,49.835634044016025,79.29748180850997,79.87986498100501,18.47948340564817,8.024960105125693
Akzeptieren,144,8.846128854396973,6.416572700778111,54.702732529118265,84.16826402567584,93.14293467877064,15.882247511673677,8.051794016086044
Akzeptieren,146,7.830358613899241,6.4341943263378845,54.413482936956164,74.68608090677495,77.34771591653572,14.983733476409004,9.484087521401909
Akzeptieren,148,7.750140959960692,6.862837793409115,54.56557958199469,81.56538926596912,80.0621570477489,14.69397574009035,11.368880739363984
Akzeptieren,150,8.6904466906876,6.267710874751959,50.55292059173648,80.1837914982611,68.90400355750215,19.267229169938503,10.463060291596133
Akzeptieren,152,9.085632335247048,6.8532987155869645,49.6391505876923,83.3134783060993,69.00814522277355,19.818484949167704,9.694151998827182
Akzeptieren,154,9.493035112631459,6.583621260883407,48.54975160493561,75.9635644415872,64.48125276816215,21.276750878652603,8.533646801807993
Akzeptieren,156,9.320941361182623,6.636874379111257,45.63916005873058,59.19123689382891,60.067682935940844,18.828850354031097,9.99018234587362
Akzeptieren,158,9.415517982413624,6.310504585600281,43.55334559168477,60.95422738466607,50.75025547496107,19.389158540023562,8.722788865596929
Akzeptieren,160,8.982841401931118,6.828582730116094,43.80472895450588,64.01010987265028,55.52793457099886,19.315794088176887,9.199398809322101
Akzeptieren,162,9.64104269732211,6.297526859801964,45.48743248741127,77.3973325880722,55.712321117077494,22.496843739598827,7.787899248773295
Akzeptieren,164,8.515211497536924,7.141456704944273,46.561185276507885,69.43312613116787,54.62314696025911,18.671730839056362,9.817474666618013
Akzeptieren,166,8.957195494854842,6.5157347255765625,46.42550809348493,72.02648449591999,59.653755912257765,21.29879151992675,8.435498754248933
Akzeptieren,168,8.471861402799028,6.777633053009624,46.60855488774353,70.75490814308915,60.159248795417916,20.735344286896385,8.408484742418468
Akzeptieren,170,9.193080898041138,6.434333767899004,46.92269281628359,75.72007708178283,61.12433548928191,20.452784778207477,7.885743177149409
Akzeptieren,172,8.371149575174709,6.232176179795845,45.78599774928808,71.85778189132951,63.31073791876822,18.30457014186365,7.768030792325356
Akzeptieren,174,8.768367161110941,6.418545607582621,46.95839877237254,73.13101781410475,68.16389004679256,18.16283502080211,8.02333458547752
Akzeptieren,176,8.886923097712733,6.602395795880425,46.40367837219016,72.69080369163993,65.99700305675181,17.92617533109406,8.651995013257974
Akzeptieren,178,9.015794528861816,6.550069723678281,45.57260251098363,70.07240510640224,60.86854840288883,17.857746186396195,8.729282995503125
Akzeptieren,180,9.0092509181454,6.518672865270892,45.974221192461385,75.61163721583497,59.39305728457056,18.217612823364792,8.740358705871536
Akzeptieren,182,8.993947440583405,6.60906950723466,44.39027709071167,73.19713375267517,59.707371008871796,19.331278754477953,8.31462711144741
Akzeptieren,184,8.325746469902159,7.587754156511968,44.104115892976004,71.10392915958711,57.289696720382224,17.228213005850115,11.759989030991957
Arzt,166,9.18589509758053,8.644246266656793,46.4160405798595,49.269702538589485,51.222195556251215,22.167971921487315,11.072046481988561
Arzt,168,9.757000530235649,8.798374123635156,44.094671916699795,44.24501362935062,47.60544382427007,22.74587054848111,10.20196235448544
Arzt,170,9.59549378238642,8.864631324230455,46.87318870321604,43.41117134210437,47.84729282602313,22.242847970680902,10.283753671290825
Arzt,172,9.575135370737964,8.418075957217043,47.6693516273959,44.14032986553159,50.63506345095384,24.06874596630996,9.757684139331692
Arzt,174,9.522152336549059,8.682341949552713,50.149177685001206,42.69879725532399,53.360403793112,22.72721768458643,10.36685677619103
Arzt,176,9.87575316534646,8.181706045712474,51.22341503845912,47.57488097449395,55.42424465170999,23.964850220765356,9.389811939321158
Arzt,178,9.74990539745613,7.802270860964565,51.610769858861076,48.73342576294635,55.125275569725055,23.927088698186182,9.20762307246583
Arzt,180,9.854509811999128,7.925670396807161,52.97564374099472,52.85903535010144,57.35424090865684,23.98612467323628,9.292469765513898
Arzt,182,9.654745980019415,8.51209858885936,52.05649878216251,55.3311207082759,49.36672141128765,23.827385996288694,9.689552583608089
Arzt,184,10.235216172897019,8.463038408320017,53.636483115662614,58.93319252997218,50.84613729260731,24.1599221734534,9.573215631435895
Arzt,186,10.06574638971596,7.799587749820936,54.7757672969552,61.33764677649263,52.01644512727294,23.107316953275813,8.664743876231807
Arzt,188,9.527072418762176,8.024421535171797,51.21948511677267,60.42277936741929,55.2383889496269,22.16875116176597,8.87575660848055
Arzt,190,9.451227698836075,7.6200831197648515,55.07803651467892,58.93183639114415,57.74335993751744,23.0874038014036,8.574414169556023
Arzt,192,9.81723317813065,7.740191771711414,57.94263753056247,66.00501910763015,56.90488540154337,23.250898523520085,8.645564856686434
Arzt,194,9.153254420576452,7.960178848952681,56.03276368793741,65.46915139712046,53.415111186186564,22.516602770013932,8.890275748692085
Arzt,196,9.680439879687798,8.227229487311078,51.835317182107126,56.86554814385619,52.61439378611784,23.367563929364085,9.926676306573349
Arzt,198,9.917437690701142,7.88229917233101,54.00116763360208,56.523234094419024,55.307037472259054,23.080641516864258,8.473071073060144
Arzt,200,9.303523695278693,7.796170033576629,54.550213883240744,57.63841053766227,55.496296029881044,21.97938386444902,8.48700448147503
Arzt,202,9.558604844962025,7.81323738877201,53.01759459679013,55.12533367657015,54.62490449666492,23.034395645284956,9.056049126319884
Arzt,204,9.890799641498226,7.945247580738994,51.543380831276046,55.42092944449507,54.14124568990406,23.737392567768946,9.858671349813555
Arzt,206,10.14448327327735,7.396953480812885,58.10540721515701,61.30896938532868,57.248317924523484,23.820513195540105,8.27671110791465
AufgebenResignieren,122,14.480641075120408,9.643160237778655,47.004741881283614,123.47866761671726,46.4774471341091,34.98456146879057,22.976470780518557
AufgebenResignieren,124,17.413058469586037,12.382526164010107,54.86105883564463,104.45309406775459,109.32058807630716,43.82608698614506,29.721229587328597
AufgebenResignieren,126,16.73737172826949,13.191566196003285,54.87298919464714,105.1238646637363,111.99674553134287,43.30403120627811,31.398399750134725
AufgebenResignieren,128,16.27573718946344,13.569610868716005,54.72651240900822,102.53264027301769,107.03868249871556,42.47507626717718,29.44621328504379
AufgebenResignieren,130,15.792135219139976,13.134527308923694,53.86745820895609,97.11093541547211,104.82398601556794,39.48324005497619,25.09726715222508
AufgebenResignieren,132,13.657345867990669,13.06468347283148,37.950435991457766,40.0741586025711,32.77680457412984,32.62007935531982,20.777708516273005
AufgebenResignieren,134,12.91710665322908,14.274991542689618,41.38090251860905,43.12057928734391,49.782460800889794,27.418387149973828,24.602844658219038
AufgebenResignieren,136,11.433327820672536,13.13370180391724,40.40805270384318,48.89788051962127,50.87378628442723,24.520687301280944,18.65730761498542
AufgebenResignieren,138,10.488512892221749,11.57121097795334,40.99792801619137,45.917373355143,55.07236313289938,20.713115439287016,15.392628572163105
AufgebenResignieren,140,9.33532889576046,10.101083025482097,40.45105722449147,51.434361899421724,48.32941720433585,17.580525040871173,12.831491522620572
AufgebenResignieren,142,8.814594848640999,7.218423320151727,44.01748210585227,61.0649458194094,59.182261699527245,18.099332319024935,13.117177399470046
AufgebenResignieren,144,7.7262977594326125,7.684853605199631,49.73389474698838,76.2017599699734,74.54950488443589,17.750216877935497,16.647924467107806
AufgebenResignieren,146,9.626959967457967,9.410877498340643,46.86628259835766,84.84302918897066,80.9775791672773,26.131456925401093,19.792083292016624
AufgebenResignieren,148,11.124777184903984,10.311773487767153,54.97086700248818,107.0607284086354,103.02650048430988,28.01492469335845,18.207195997278408
