clip_id,frame_id,method,one_handed_class_0,tr_all_mm,tr_left_hand_mm,tr_right_hand_mm,tr_upper_body_minus_face_mm,tr_upper_body_minus_head_mm,tr_upper_body_mm,v2v_left_wrist_mm,v2v_right_wrist_mm
Ablehnen,149,DexAvatar,False,44.241404741214815,12.472519421042119,17.844697994902173,25.754401167995557,37.25279851834932,23.21754497999211,12.472519421042119,17.844697994902173
Ablehnen,151,DexAvatar,False,43.17154247686516,13.355447626500341,19.777909405185195,26.88432189153828,39.05195759352156,24.07439669530207,13.35544762650034,19.777909405185195
Ablehnen,153,DexAvatar,False,45.47564716574462,13.667806272955236,13.041844856275329,28.199816407523677,39.98633662142139,25.27452779074826,13.667806272955236,13.041844856275326
Ablehnen,155,DexAvatar,False,45.90141176070041,14.017176709999958,15.86691186845628,32.18806112401287,49.672446124179984,27.950280260439005,14.017176709999958,15.86691186845628
Ablehnen,157,DexAvatar,False,44.15925882024523,14.40331667821567,13.525961880318274,32.3037206026411,54.551086348563906,27.04195758531695,14.403316678215667,13.525961880318274
Ablehnen,159,DexAvatar,False,47.292757380500916,13.81356782246336,8.17880894551631,30.817685322724614,52.55090801549741,25.740602628504472,13.813567822463359,8.178808945516309
Ablehnen,161,DexAvatar,False,49.949313878633546,15.131716553521672,7.9883813035889695,28.992089621163277,48.97607010593971,24.38534981777955,15.131716553521676,7.988381303588968
Ablehnen,163,DexAvatar,False,45.63236149255358,14.448455689088151,9.694425697694113,29.845914508782236,50.35549765408014,24.998200561650286,14.44845568908815,9.694425697694113
Ablehnen,165,DexAvatar,False,44.56543431974352,12.836291437481782,7.272681362739596,29.336989133135003,49.12897644622082,24.592836169186324,12.836291437481783,7.272681362739596
Ablehnen,167,DexAvatar,False,43.00918232375651,13.037790395707182,7.571904469013527,29.001918257662435,47.022610142772066,24.467901510187342,13.03779039570718,7.571904469013526
Ablehnen,169,DexAvatar,False,40.40993595692119,14.337392870936029,8.048470882811879,27.646340519362315,45.81388964916423,23.286381040646333,14.33739287093603,8.048470882811877
Ablehnen,171,DexAvatar,False,41.46027335103079,13.194590268151515,7.503519992166712,26.629529054319264,43.43895018763814,22.444778022783858,13.194590268151515,7.503519992166713
Ablehnen,173,DexAvatar,False,41.53581587764089,13.729158235554209,7.041516697819345,28.07521205595835,44.99539255738917,23.746133865735054,13.729158235554205,7.041516697819347
Ablehnen,175,DexAvatar,False,41.65691507605416,13.480124095617533,7.462586763272766,27.753897371818887,43.80389098112099,23.551203725883607,13.480124095617533,7.462586763272765
Akzeptieren,124,DexAvatar,False,36.84183398345671,7.060563799109251,6.775200264409856,27.066005618357988,38.87717914590462,23.199618553057018,7.060563799109254,6.775200264409853
Akzeptieren,126,DexAvatar,False,38.363525152545634,7.221611887144349,6.214356421899417,29.227791309691902,39.17769456804368,25.443222214391508,7.221611887144347,6.214356421899415
Akzeptieren,128,DexAvatar,False,38.49732360376217,7.346017930627739,5.964480447722256,30.901234030086716,39.958643561416494,27.095094976311426,7.346017930627735,5.964480447722255
Akzeptieren,130,DexAvatar,False,38.86624703254133,8.135161403287494,6.292515930255312,29.68685382899532,38.02542076403803,26.096823603196455,8.135161403287494,6.292515930255313
Akzeptieren,132,DexAvatar,False,43.27168928509625,9.058365358788409,6.176742042111724,32.323025144757516,38.071696852924774,28.803709042367164,9.058365358788409,6.1767420421117265
Akzeptieren,134,DexAvatar,False,39.26500200398644,8.45232508511392,6.214654839235794,31.678087654306033,37.20996988482571,28.27879690179521,8.452325085113921,6.214654839235791
Akzeptieren,136,DexAvatar,False,43.005837959632274,8.955426287008924,6.387536639112059,34.172611101100784,39.273743810512485,30.536155088711855,8.955426287008924,6.387536639112062
Akzeptieren,138,DexAvatar,False,43.50729092773987,9.645854730177154,6.788601436931415,38.961342565154034,41.90550433925359,35.13373370677443,9.645854730177158,6.788601436931415
Akzeptieren,140,DexAvatar,False,40.21101417007199,9.334833247223852,7.073302373212049,31.770963605053776,38.400994013086056,28.237755082829715,9.334833247223854,7.073302373212049
Akzeptieren,142,DexAvatar,False,39.04044290692143,9.365153000865654,6.73166525768475,28.604798113775402,34.83675931326533,25.466419217666175,9.365153000865652,6.731665257684749
Akzeptieren,144,DexAvatar,False,42.798660259326624,8.846128854396973,6.416572700778111,33.64756725325939,38.42132265118601,30.323206432885623,8.846128854396971,6.416572700778109
Akzeptieren,146,DexAvatar,False,40.93507894891065,7.830358613899241,6.4341943263378845,32.29299816211194,36.07440666837657,29.36334897225755,7.830358613899238,6.434194326337886
