sign,frame,mpvpe_ubody,mpvpe_lhand,mpvpe_rhand,trv2v_ubody,trv2v_lhand,trv2v_rhand,pred_path,gt_path
Frisch,low_179,61.106373,14.304956,12.509430,37.890691,10.627920,11.031795,/home/haipd/DexAvatar/outputs/output_wilor/Frisch/smplifyx/meshes/low_179.obj,/home/haipd/DexAvatar/data/smplx_gt/Frisch/00358.obj
Frisch,low_181,52.427709,14.628965,12.728781,33.653442,10.995482,11.417518,/home/haipd/DexAvatar/outputs/output_wilor/Frisch/smplifyx/meshes/low_181.obj,/home/haipd/DexAvatar/data/smplx_gt/Frisch/00362.obj
AusgebenGeldVerschwenden,low_124,45.833725,19.230790,32.760561,21.472286,14.582689,12.382044,/home/haipd/DexAvatar/outputs/output_wilor/AusgebenGeldVerschwenden/smplifyx/meshes/low_124.obj,/home/haipd/DexAvatar/data/smplx_gt/AusgebenGeldVerschwenden/00248.obj
AusgebenGeldVerschwenden,low_126,48.549041,16.892156,31.241829,23.072151,13.276875,13.296229,/home/haipd/DexAvatar/outputs/output_wilor/AusgebenGeldVerschwenden/smplifyx/meshes/low_126.obj,/home/haipd/DexAvatar/data/smplx_gt/AusgebenGeldVerschwenden/00252.obj
AusgebenGeldVerschwenden,low_128,47.449391,22.320973,26.518553,21.515222,16.102519,11.623828,/home/haipd/DexAvatar/outputs/output_wilor/AusgebenGeldVerschwenden/smplifyx/meshes/low_128.obj,/home/haipd/DexAvatar/data/smplx_gt/AusgebenGeldVerschwenden/00256.obj
AusgebenGeldVerschwenden,low_130,44.466887,19.682391,27.425030,19.402953,14.449218,11.835576,/home/haipd/DexAvatar/outputs/output_wilor/AusgebenGeldVerschwenden/smplifyx/meshes/low_130.obj,/home/haipd/DexAvatar/data/smplx_gt/AusgebenGeldVerschwenden/00260.obj
AusgebenGeldVerschwenden,low_132,46.866264,17.923594,27.413581,21.421973,13.073745,11.781194,/home/haipd/DexAvatar/outputs/output_wilor/AusgebenGeldVerschwenden/smplifyx/meshes/low_132.obj,/home/haipd/DexAvatar/data/smplx_gt/AusgebenGeldVerschwenden/00264.obj
AusgebenGeldVerschwenden,low_134,43.516308,17.446218,26.791617,20.929806,12.498434,11.590613,/home/haipd/DexAvatar/outputs/output_wilor/AusgebenGeldVerschwenden/smplifyx/meshes/low_134.obj,/home/haipd/DexAvatar/data/smplx_gt/AusgebenGeldVerschwenden/00268.obj
AusgebenGeldVerschwenden,low_136,44.446170,20.248601,31.504713,21.714341,12.609331,13.343846,/home/haipd/DexAvatar/outputs/output_wilor/AusgebenGeldVerschwenden/smplifyx/meshes/low_136.obj,/home/haipd/DexAvatar/data/smplx_gt/AusgebenGeldVerschwenden/00272.obj
AusgebenGeldVerschwenden,low_138,41.735299,21.521818,32.616470,19.670827,13.159378,12.855370,/home/haipd/DexAvatar/outputs/output_wilor/AusgebenGeldVerschwenden/smplifyx/meshes/low_138.obj,/home/haipd/DexAvatar/data/smplx_gt/AusgebenGeldVerschwenden/00276.obj
AusgebenGeldVerschwenden,low_140,44.042297,24.414970,35.578929,20.415276,13.419634,14.341850,/home/haipd/DexAvatar/outputs/output_wilor/AusgebenGeldVerschwenden/smplifyx/meshes/low_140.obj,/home/haipd/DexAvatar/data/smplx_gt/AusgebenGeldVerschwenden/00280.obj
AusgebenGeldVerschwenden,low_142,43.347992,24.230028,36.368754,19.953275,13.119207,15.340939,/home/haipd/DexAvatar/outputs/output_wilor/AusgebenGeldVerschwenden/smplifyx/meshes/low_142.obj,/home/haipd/DexAvatar/data/smplx_gt/AusgebenGeldVerschwenden/00284.obj
AusgebenGeldVerschwenden,low_144,43.704364,23.287704,36.413848,20.714244,13.459220,15.536354,/home/haipd/DexAvatar/outputs/output_wilor/AusgebenGeldVerschwenden/smplifyx/meshes/low_144.obj,/home/haipd/DexAvatar/data/smplx_gt/AusgebenGeldVerschwenden/00288.obj
AusgebenGeldVerschwenden,low_146,43.206900,20.766173,37.605226,19.733019,14.016285,15.536450,/home/haipd/DexAvatar/outputs/output_wilor/AusgebenGeldVerschwenden/smplifyx/meshes/low_146.obj,/home/haipd/DexAvatar/data/smplx_gt/AusgebenGeldVerschwenden/00292.obj
AusgebenGeldVerschwenden,low_148,44.852976,19.192724,38.855188,21.583002,13.894293,15.597150,/home/haipd/DexAvatar/outputs/output_wilor/AusgebenGeldVerschwenden/smplifyx/meshes/low_148.obj,/home/haipd/DexAvatar/data/smplx_gt/AusgebenGeldVerschwenden/00296.obj
AusgebenGeldVerschwenden,low_150,45.813560,21.280011,35.953060,22.121977,15.550969,15.369436,/home/haipd/DexAvatar/outputs/output_wilor/AusgebenGeldVerschwenden/smplifyx/meshes/low_150.obj,/home/haipd/DexAvatar/data/smplx_gt/AusgebenGeldVerschwenden/00300.obj
BesuchenEinmischen,low_176,43.785114,31.741980,14.374144,20.370992,19.770579,9.336305,/home/haipd/DexAvatar/outputs/output_wilor/BesuchenEinmischen/smplifyx/meshes/low_176.obj,/home/haipd/DexAvatar/data/smplx_gt/BesuchenEinmischen/00352.obj
BesuchenEinmischen,low_178,43.534279,37.864674,15.530917,19.974176,21.317910,9.407745,/home/haipd/DexAvatar/outputs/output_wilor/BesuchenEinmischen/smplifyx/meshes/low_178.obj,/home/haipd/DexAvatar/data/smplx_gt/BesuchenEinmischen/00356.obj
BesuchenEinmischen,low_180,45.293119,29.631196,15.135899,20.322006,16.146317,8.933151,/home/haipd/DexAvatar/outputs/output_wilor/BesuchenEinmischen/smplifyx/meshes/low_180.obj,/home/haipd/DexAvatar/data/smplx_gt/BesuchenEinmischen/00360.obj
BesuchenEinmischen,low_182,46.193551,27.413258,17.372558,20.228945,15.716465,10.157122,/home/haipd/DexAvatar/outputs/output_wilor/BesuchenEinmischen/smplifyx/meshes/low_182.obj,/home/haipd/DexAvatar/data/smplx_gt/BesuchenEinmischen/00364.obj
BesuchenEinmischen,low_184,48.198584,18.246524,16.910100,20.086078,12.516054,11.055804,/home/haipd/DexAvatar/outputs/output_wilor/BesuchenEinmischen/smplifyx/meshes/low_184.obj,/home/haipd/DexAvatar/data/smplx_gt/BesuchenEinmischen/00368.obj
BesuchenEinmischen,low_186,46.977468,20.111110,17.580347,19.613458,14.723501,11.472922,/home/haipd/DexAvatar/outputs/output_wilor/BesuchenEinmischen/smplifyx/meshes/low_186.obj,/home/haipd/DexAvatar/data/smplx_gt/BesuchenEinmischen/00372.obj
BesuchenEinmischen,low_188,46.796598,26.956566,22.770457,21.001298,15.339695,12.636760,/home/haipd/DexAvatar/outputs/output_wilor/BesuchenEinmischen/smplifyx/meshes/low_188.obj,/home/haipd/DexAvatar/data/smplx_gt/BesuchenEinmischen/00376.obj
BesuchenEinmischen,low_190,47.160186,29.017836,23.098610,22.040727,16.357118,13.514682,/home/haipd/DexAvatar/outputs/output_wilor/BesuchenEinmischen/smplifyx/meshes/low_190.obj,/home/haipd/DexAvatar/data/smplx_gt/BesuchenEinmischen/00380.obj
BesuchenEinmischen,low_192,47.858965,28.648188,26.341300,22.002922,16.692320,14.740349,/home/haipd/DexAvatar/outputs/output_wilor/BesuchenEinmischen/smplifyx/meshes/low_192.obj,/home/haipd/DexAvatar/data/smplx_gt/BesuchenEinmischen/00384.obj
BesuchenEinmischen,low_194,46.651766,29.097516,28.159680,21.564895,16.432649,15.578716,/home/haipd/DexAvatar/outputs/output_wilor/BesuchenEinmischen/smplifyx/meshes/low_194.obj,/home/haipd/DexAvatar/data/smplx_gt/BesuchenEinmischen/00388.obj
