clip_id,frame_id,legacy_region_tr_left_hand_pve_mm,legacy_region_tr_right_hand_pve_mm,root_aligned_body_pve_mm,root_aligned_left_hand_pve_mm,root_aligned_right_hand_pve_mm,wrist_aligned_left_hand_pve_mm,wrist_aligned_right_hand_pve_mm
Ablehnen,149,9.774726290846115,19.039054287667053,52.421233710426456,58.76644536293858,55.26762677480658,16.383997700004382,35.53369258862229
Ablehnen,151,11.286916765932238,20.376544073753376,51.143294546199336,68.29832153759926,52.084227940355994,22.526951984576787,34.661168972082585
Ablehnen,153,11.180062167106522,12.122577529090819,50.342368967952076,51.09045402822709,63.08523446430524,16.155924350038667,22.831522945893006
Ablehnen,155,9.965268405651978,15.523034750979622,54.512114256176,73.12613162885472,91.64158963194339,15.652096114823113,22.52730391384719
Ablehnen,157,9.6064743082556,13.148693287005015,53.24530603436628,60.64886968434715,119.581730166942,14.296157987165628,20.262652129726863
Ablehnen,159,9.475058672108132,10.248354553455075,56.18732186391271,45.165686145252124,125.33223520874931,16.96280956687421,17.27664661461851
Ablehnen,161,8.738745883040494,9.042675964929874,58.76674309751643,42.76807830107626,117.85303353294769,15.916516447010139,14.764882060003416
Ablehnen,163,8.25057048698054,9.2124425102924,56.99765183435367,41.68713688583198,121.08427831985384,16.387686889242442,14.973746911997504
Ablehnen,165,9.536966231831917,8.721516570089582,50.1951969650102,25.63839183503344,107.88190402842993,15.064452580436289,13.572773701368817
Ablehnen,167,7.5173430857406665,8.399356390232198,50.76439942070497,37.11976352680337,106.22232949292608,13.274471039844675,13.83289793834704
Ablehnen,169,8.255354743513866,8.947944466968366,52.12308920807473,36.259685430196015,103.88742748112243,15.707353083915107,14.909593369809867
Ablehnen,171,8.061941048975653,9.371311042985056,45.23593320439366,37.8492141183563,97.10624097846156,15.519224776932,15.584740275831257
Ablehnen,173,8.662916091309782,8.714145531389466,45.437010803748485,30.248669485686584,100.84020455998242,14.950020358391985,14.964691703535655
Ablehnen,175,7.954725910854958,9.017890518688478,49.659692935548584,38.24961521387034,108.13655615749158,13.718146825504967,15.671458786539507
