aggregation,clip_macro_tr_all_mm,clip_macro_tr_left_hand_mm,clip_macro_tr_right_hand_mm,clip_macro_tr_upper_body_minus_face_mm,clip_macro_tr_upper_body_minus_head_mm,clip_macro_tr_upper_body_mm,clip_macro_v2v_left_wrist_mm,clip_macro_v2v_right_wrist_mm,clips,coverage,delta_tr_all_mm,delta_tr_left_hand_mm,delta_tr_right_hand_mm,delta_tr_upper_body_minus_face_mm,delta_tr_upper_body_minus_head_mm,delta_tr_upper_body_mm,frames,method,prediction_format,prediction_root,tr_all_mm,tr_left_hand_mm,tr_right_hand_mm,tr_upper_body_minus_face_mm,tr_upper_body_minus_head_mm,tr_upper_body_mm,v2v_left_wrist_mm,v2v_right_wrist_mm
author_vertex_micro,43.08007405852999,13.796739881455386,13.02646809303121,30.41997130310144,41.716138464359304,26.890043951375873,13.796739881455386,13.026468093031212,57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1493,DexAvatar,dexavatar-obj,signal4d/outputs/strict_dexavatar_obj_20260820/full_1493/DexAvatar_HaMeR,42.58672103600072,13.573461936015676,12.927136809229967,29.907412675419735,40.79602974744251,26.45599852631247,13.573461936015676,12.927136809229967
author_vertex_micro,42.703348916872436,12.972778066785338,12.205590030345974,30.100853483774692,41.09957543272291,26.630254010022675,12.972778066785338,12.205590030345972,57,1.0,-0.34441394246099577,-0.7632328849251344,-0.8123019780718472,-0.28781712951418825,-0.559267411327113,-0.23240731839887374,1493,ExternalV1,dexavatar-obj,signal4d/outputs/strict_dexavatar_obj_external_20260824/full1493/SIGNAL4D_EXT,42.24230709353972,12.810229051090541,12.11483483115812,29.619595545905547,40.2367623361154,26.223591207913596,12.810229051090541,12.114834831158122
author_vertex_micro,42.7040667826002,12.972778066785338,12.204014552528127,30.102026246640765,41.10134631323848,26.631257237817593,12.972778066785338,12.204014552528127,57,1.0,-0.3434523428064864,-0.7632328849251344,-0.8130326322458821,-0.2863186020062649,-0.5571291669557894,-0.23110391959634313,1493,SignDomainClean,dexavatar-obj,signal4d/outputs/strict_dexavatar_obj_20260826/full1493/SIGNAL4D_SIGN_DOMAIN_V1R,42.24326869319423,12.810229051090541,12.114104176984085,29.62109407341347,40.23890058048672,26.224894606716127,12.810229051090541,12.114104176984085
author_vertex_micro,37.850853388259345,20.722203914309997,20.223022506487037,28.952151622064164,37.34947224291725,25.867925852079352,20.722203914309997,20.223022506487037,57,1.0,-4.6517919267259344,7.676644239012532,7.523815848764201,-0.9512820568714204,-3.770563957149733,-0.5313988473654838,1493,SignDomainRawInit,dexavatar-obj,signal4d/outputs/strict_dexavatar_obj_20260826/full1493/SIGNAL4D_SIGN_DOMAIN_V1R_RAW_INIT,37.93492910927478,21.250106175028208,20.45095265799417,28.956130618548315,37.02546579029278,25.924599678946986,21.250106175028208,20.45095265799417
