abstain_left_hand,abstain_right_hand,abstain_upper_body,acceleration_error,clip_id,frame_id,jerk_error,pa_mpvpe_left_hand_mm,pa_mpvpe_right_hand_mm,pa_mpvpe_upper_body_mm,risk_left_hand,risk_right_hand,risk_upper_body,signer_id,tr_v2v_left_hand_mm,tr_v2v_right_hand_mm,tr_v2v_upper_body_mm,velocity_error
0.0,0.0,0.0,244.73362731933594,Ablehnen,149,4820.82421875,9.042322158813477,9.32461166381836,24.979825973510742,0.16253139078617096,0.11269398033618927,0.23192982375621796,unknown,10.00751781463623,19.724794387817383,25.71310043334961,15.297978401184082
0.0,0.0,0.0,76.82329559326172,Ablehnen,151,270.2762145996094,9.87619400024414,11.755536079406738,25.008560180664062,0.15994705259799957,0.11371543258428574,0.2304840385913849,unknown,11.717340469360352,20.861787796020508,26.437509536743164,1.1576240062713623
0.0,0.0,0.0,90.43270874023438,Ablehnen,153,473.16571044921875,9.533642768859863,9.697896957397461,22.285642623901367,0.15523821115493774,0.1068878248333931,0.22895631194114685,unknown,11.301980972290039,12.478172302246094,26.122018814086914,4.09266996383667
0.0,0.0,0.0,60.076045989990234,Ablehnen,155,4325.9013671875,7.9149699211120605,7.669072151184082,26.256074905395508,0.1588263213634491,0.10092928260564804,0.22971396148204803,unknown,10.13577938079834,15.692852020263672,29.15222930908203,10.101557731628418
0.0,0.0,0.0,228.40455627441406,Ablehnen,157,2999.314208984375,7.087039470672607,5.601463794708252,25.283079147338867,0.1594705432653427,0.09954921901226044,0.2300497442483902,unknown,9.691516876220703,13.380722999572754,29.350025177001953,14.096110343933105
0.0,0.0,0.0,28.502960205078125,Ablehnen,159,321.990966796875,6.4226861000061035,5.375586032867432,24.29436683654785,0.16213014721870422,0.10041560232639313,0.22835952043533325,unknown,9.702088356018066,10.51567554473877,28.272857666015625,1.134799838066101
0.0,0.0,0.0,49.821632385253906,Ablehnen,161,1929.4755859375,6.487597942352295,4.8136796951293945,24.329044342041016,0.16737794876098633,0.09960756450891495,0.22928878664970398,unknown,8.969237327575684,9.258598327636719,27.537927627563477,3.028942584991455
0.0,0.0,0.0,78.81633758544922,Ablehnen,163,1504.1676025390625,6.656832695007324,4.1609954833984375,24.001134872436523,0.16840064525604248,0.10052868723869324,0.23032939434051514,unknown,8.551570892333984,9.473470687866211,28.21776580810547,6.346068382263184
0.0,0.0,0.0,178.66868591308594,Ablehnen,165,5694.07275390625,6.483747482299805,4.058847427368164,20.097822189331055,0.1660403311252594,0.09809082001447678,0.22899645566940308,unknown,9.643705368041992,8.91809368133545,24.8316593170166,1.112345576286316
0.0,0.0,0.0,200.95138549804688,Ablehnen,167,2995.078125,6.458080768585205,4.097283363342285,21.966447830200195,0.16659261286258698,0.09768721461296082,0.22914710640907288,unknown,7.697227954864502,8.59731388092041,25.68355369567871,10.809164047241211
0.0,0.0,0.0,2.5293526649475098,Ablehnen,169,1963.078125,6.814531326293945,4.18714714050293,21.22130584716797,0.1662507802248001,0.09578074514865875,0.2283422201871872,unknown,8.52435302734375,9.150540351867676,23.95907974243164,2.5882561206817627
0.0,0.0,0.0,129.5803985595703,Ablehnen,171,,6.616392612457275,4.379457473754883,21.388011932373047,0.16242866218090057,0.09677764773368835,0.22704672813415527,unknown,8.334085464477539,9.57033920288086,25.08237075805664,2.6735618114471436
0.0,0.0,0.0,,Ablehnen,173,,6.651102066040039,4.325479507446289,20.376819610595703,0.16799713671207428,0.09766557067632675,0.22816137969493866,unknown,8.84022331237793,8.916316032409668,24.70066261291504,5.965348720550537
0.0,0.0,0.0,,Ablehnen,175,,6.697384834289551,4.400755882263184,22.41673469543457,0.1699129194021225,0.09935647994279861,0.22903534770011902,unknown,8.136219024658203,9.24071979522705,26.06641960144043,
0.0,0.0,0.0,7.103226184844971,Akzeptieren,124,2144.764892578125,4.503096580505371,4.010829448699951,14.714109420776367,0.0,0.0,0.0,unknown,6.543646812438965,7.45216703414917,22.698413848876953,1.7234231233596802
0.0,0.0,0.0,137.53851318359375,Akzeptieren,126,4542.64501953125,4.50724983215332,4.220888614654541,13.661419868469238,0.0,0.0,0.0,unknown,5.921850681304932,6.69061279296875,21.499191284179688,1.4009406566619873
0.0,0.0,0.0,165.31674194335938,Akzeptieren,128,2500.419677734375,4.560918807983398,4.427481174468994,13.98304271697998,0.0,0.0,0.0,unknown,7.585735321044922,7.149480819702148,28.34375762939453,10.537203788757324
0.0,0.0,0.0,7.469062805175781,Akzeptieren,130,3703.799072265625,4.648253440856934,4.44720458984375,14.632207870483398,0.0,0.0,0.0,unknown,6.303431034088135,6.333433151245117,26.43862533569336,0.6238182187080383
0.0,0.0,0.0,247.57858276367188,Akzeptieren,132,7081.26708984375,4.751216888427734,4.770364761352539,13.849013328552246,0.0,0.0,0.0,unknown,7.006789684295654,4.954424858093262,27.56329345703125,0.4414239823818207
0.0,0.0,0.0,224.54043579101562,Akzeptieren,134,7916.826171875,5.076057434082031,4.950997829437256,14.901970863342285,0.0,0.0,0.0,unknown,6.997692108154297,5.3644866943359375,27.775667190551758,16.089994430541992
0.0,0.0,0.0,303.28057861328125,Akzeptieren,136,9001.4970703125,5.220319747924805,5.017426013946533,15.368733406066895,0.0,0.0,0.0,unknown,6.8990678787231445,5.818463325500488,25.291378021240234,1.166683554649353
0.0,0.0,0.0,296.8266906738281,Akzeptieren,138,6781.53271484375,5.40907096862793,5.448308944702148,20.676176071166992,0.0,0.0,0.0,unknown,8.705830574035645,6.333186149597168,33.95830535888672,21.344486236572266
0.0,0.0,0.0,155.27659606933594,Akzeptieren,140,8376.681640625,6.141463756561279,5.799497127532959,16.853670120239258,0.0,0.0,0.0,unknown,9.290865898132324,6.14267635345459,27.390888214111328,1.5612990856170654
0.0,0.0,0.0,403.1733703613281,Akzeptieren,142,11806.0205078125,6.071924686431885,5.6120171546936035,16.231422424316406,0.0,0.0,0.0,unknown,9.411039352416992,6.0549445152282715,26.487998962402344,11.9077787399292
0.0,0.0,0.0,383.90057373046875,Akzeptieren,144,7678.0673828125,6.598776817321777,6.251788139343262,15.4081392288208,0.0,0.0,0.0,unknown,9.210495948791504,6.465231895446777,28.662036895751953,14.970941543579102
0.0,0.0,0.0,128.02845764160156,Akzeptieren,146,1863.4044189453125,6.183027744293213,6.024971961975098,14.660395622253418,0.0,0.0,0.0,unknown,8.713109970092773,6.382004737854004,31.3232421875,10.622879981994629
0.0,0.0,0.0,5.462785720825195,Akzeptieren,148,2672.86962890625,6.143163681030273,6.286515235900879,15.46291732788086,0.0,0.0,0.0,unknown,7.741614818572998,6.695609092712402,25.30852508544922,2.1097464561462402
0.0,0.0,0.0,182.15773010253906,Akzeptieren,150,3248.029052734375,6.284073352813721,5.374566078186035,16.18366050720215,0.0,0.0,0.0,unknown,7.4289116859436035,6.275572299957275,23.369998931884766,1.832821011543274
0.0,0.0,0.0,34.42095947265625,Akzeptieren,152,1052.3966064453125,6.2531585693359375,5.495800018310547,16.103609085083008,0.0,0.0,0.0,unknown,7.973771572113037,6.301767826080322,23.02010154724121,10.312284469604492
0.0,0.0,0.0,35.77742004394531,Akzeptieren,154,4271.26220703125,6.052150726318359,6.058222770690918,14.375374794006348,0.0,0.0,0.0,unknown,7.8705949783325195,6.9171462059021,23.758567810058594,8.021677017211914
0.0,0.0,0.0,249.0190887451172,Akzeptieren,156,3872.754638671875,6.1013593673706055,5.6865339279174805,14.151548385620117,0.0,0.0,0.0,unknown,8.307191848754883,6.366532802581787,21.64734649658203,10.401871681213379
0.0,0.0,0.0,9.355388641357422,Akzeptieren,158,319.2940368652344,6.614370346069336,5.478929042816162,14.511075019836426,0.0,0.0,0.0,unknown,8.800371170043945,5.740419387817383,22.1249942779541,6.199504852294922
0.0,0.0,0.0,30.24095344543457,Akzeptieren,160,305.1994934082031,6.4425950050354,5.655974864959717,13.596753120422363,0.0,0.0,0.0,unknown,8.264222145080566,6.454615592956543,24.06324005126953,5.589992046356201
0.0,0.0,0.0,10.64694595336914,Akzeptieren,162,881.91943359375,6.300442695617676,5.557847499847412,15.463509559631348,0.0,0.0,0.0,unknown,7.8646650314331055,6.164175510406494,21.802785873413086,3.5783331394195557
0.0,0.0,0.0,69.21292877197266,Akzeptieren,164,1292.805908203125,6.225255489349365,5.4948344230651855,15.241503715515137,0.0,0.0,0.0,unknown,7.252857685089111,6.264348030090332,22.458202362060547,2.88016414642334
0.0,0.0,0.0,17.013629913330078,Akzeptieren,166,846.2926025390625,6.152215480804443,5.5196661949157715,14.150339126586914,0.0,0.0,0.0,unknown,7.306651592254639,6.313539981842041,23.535886764526367,1.7354322671890259
0.0,0.0,0.0,73.34156036376953,Akzeptieren,168,2660.435302734375,6.122132778167725,5.715811252593994,14.964986801147461,0.0,0.0,0.0,unknown,7.6471734046936035,6.258330821990967,24.141366958618164,0.605454683303833
0.0,0.0,0.0,104.02367401123047,Akzeptieren,170,1666.6463623046875,6.098981857299805,5.693026065826416,14.231531143188477,0.0,0.0,0.0,unknown,7.9644975662231445,6.031181812286377,24.226165771484375,4.285181045532227
0.0,0.0,0.0,7.153382301330566,Akzeptieren,172,494.2396545410156,6.278694152832031,5.518287181854248,15.629131317138672,0.0,0.0,0.0,unknown,7.46639347076416,6.019216537475586,22.579639434814453,2.6499183177948
0.0,0.0,0.0,39.967323303222656,Akzeptieren,174,1286.920166015625,6.384485721588135,5.869024276733398,15.63315486907959,0.0,0.0,0.0,unknown,7.614609718322754,6.264518737792969,22.052371978759766,2.1786043643951416
0.0,0.0,0.0,45.83279037475586,Akzeptieren,176,915.7509765625,6.1281585693359375,5.87509298324585,14.585535049438477,0.0,0.0,0.0,unknown,7.117575645446777,6.376115798950195,24.955249786376953,0.4861592650413513
0.0,0.0,0.0,15.220000267028809,Akzeptieren,178,72.94017791748047,6.039976596832275,5.821443557739258,14.34430980682373,0.0,0.0,0.0,unknown,7.269285202026367,6.290736675262451,25.513113021850586,2.5696680545806885
0.0,0.0,0.0,10.432490348815918,Akzeptieren,180,,6.020096302032471,6.161709785461426,16.220712661743164,0.0,0.0,0.0,unknown,7.223807334899902,6.556976318359375,22.167776107788086,1.555494785308838
0.0,0.0,0.0,,Akzeptieren,182,,5.972286224365234,6.1037116050720215,16.6458683013916,0.0,0.0,0.0,unknown,7.305777072906494,6.525627136230469,22.660463333129883,0.8612087368965149
0.0,0.0,0.0,,Akzeptieren,184,,6.252633094787598,5.920077800750732,14.7905855178833,0.0,0.0,0.0,unknown,7.542588710784912,6.514809608459473,24.926115036010742,
0.0,0.0,0.0,19.980609893798828,Arzt,166,1090.4617919921875,4.7689385414123535,6.698757171630859,20.129640579223633,0.0,0.0,0.0,unknown,7.436197280883789,8.89287281036377,20.454723358154297,4.372474193572998
0.0,0.0,0.0,53.131988525390625,Arzt,168,379.18853759765625,5.090437889099121,6.6756157875061035,20.109600067138672,0.0,0.0,0.0,unknown,8.07891845703125,7.644367694854736,20.47570037841797,5.653680801391602
0.0,0.0,0.0,78.26903533935547,Arzt,170,2228.055419921875,5.30398416519165,6.744397163391113,19.52480697631836,0.0,0.0,0.0,unknown,8.197937965393066,7.838786602020264,20.066911697387695,2.1122055053710938
0.0,0.0,0.0,70.27070617675781,Arzt,172,1362.8236083984375,5.653172492980957,7.038055419921875,18.58576774597168,0.0,0.0,0.0,unknown,9.11776351928711,7.725973606109619,19.358524322509766,3.1067793369293213
0.0,0.0,0.0,20.616111755371094,Arzt,174,586.1839599609375,5.537106513977051,6.807971954345703,21.13835334777832,0.0,0.0,0.0,unknown,8.579309463500977,7.6602559089660645,21.615825653076172,1.5784168243408203
