clip_id,legacy_region_tr_hand_pve_mm,legacy_region_tr_left_hand_pve_mm,legacy_region_tr_right_hand_pve_mm,root_aligned_body_pve_mm,root_aligned_hand_pve_mm,root_aligned_left_hand_pve_mm,root_aligned_right_hand_pve_mm,wrist_aligned_hand_pve_mm,wrist_aligned_left_hand_pve_mm,wrist_aligned_right_hand_pve_mm
Ablehnen,12.240892007035542,13.708953862659625,10.772830151411458,52.78802767708402,74.20903923701903,49.42898345130875,98.98909502272923,18.7823305739517,18.83421358337185,18.730447564531556
Akzeptieren,7.6393314385496485,8.714191200765882,6.564471676333415,47.173322153323,73.10681529606416,74.1341703292259,72.0794602629024,14.363037242972007,18.90272660397133,9.823347881972683
Arzt,8.905087734941768,9.691220513173064,8.118954956710478,52.133667263685346,53.94721270392673,54.39264420375372,53.50178120409975,16.274590592932434,23.1889947515584,9.360186434306474
AufgebenResignieren,11.356543611164087,11.72073991404452,10.992347308283648,46.4425365408453,73.19894615865665,72.78201112144943,73.61588119586388,24.986022727034797,28.225423297478223,21.746622156591375
AusgebenGeldVerschwenden,13.027341486222069,12.322590540838156,13.732092431605981,51.489715509692466,74.33859235121803,62.785085792003585,85.89209891043248,28.66699551728835,18.421697539006857,38.91229349556984
Auto,13.505015505830428,13.080201855676263,13.929829155984596,41.45025958743696,55.9949365276018,56.78125196456213,55.20862109064147,21.259383494138177,21.413489219661077,21.105277768615288
BesuchenEinmischen,15.549219084793195,17.218117786613625,13.880320382972767,48.79572319507681,64.01257751750366,60.31048602783712,67.7146690071702,25.616762350341844,26.600706218311522,24.632818482372162
Blitz,13.663853691814381,,13.663853691814381,70.9106849921932,63.220817566694386,,63.220817566694386,19.21503279951693,,19.21503279951693
Blume,15.7367637522804,20.895486360454072,10.57804114410672,53.58569612141942,64.23264262371629,61.51015234591824,66.95513290151435,22.42707340265563,30.66642462637311,14.18772217893815
Boese,22.05771070217517,,22.05771070217517,68.42527261640977,90.51152955825619,,90.51152955825619,46.584256813357634,,46.584256813357634
BroetchenAufschneiden,11.899605935215886,11.73766396803358,12.061547902398189,54.59893462083298,62.47517330357715,67.79521292231617,57.15513368483814,26.65018554812904,30.302510344621748,22.997860751636335
Dort,12.191432291414172,,12.191432291414172,61.12084024420952,73.70593341466325,,73.70593341466325,14.465498008921681,,14.465498008921681
Duenn,17.85842208503098,,17.85842208503098,62.3332564590624,67.06866095286989,,67.06866095286989,17.754736606828555,,17.754736606828555
Einkaufen,14.570947426786704,13.298529409639587,15.843365443933827,48.57893844248572,58.99436182801268,62.022110082166506,55.966613573858844,23.88458110140174,18.204152264416678,29.565009938386794
Einnehmen,16.2139820041487,16.689486127716417,15.738477880580986,52.09244013367761,72.5157778656808,71.13889360916919,73.89266212219248,23.808456260338147,27.10565877503669,20.5112537456396
EinstellenJob,11.97082437408756,15.186179709555878,8.755469038619244,43.617434179525745,69.76609877165377,57.9589026334629,81.57329490984465,23.405214465023946,27.946295464806333,18.864133465241565
EisGefroren,11.674466653467618,11.353839317869705,11.995093989065529,43.5757134880358,62.85969682528888,47.72647066028898,77.99292299028876,22.522888904733875,24.603640450061796,20.44213735940595
Empathie,12.384241363335725,12.52982678403491,12.238655942636544,56.93382106381673,81.270930695302,51.4147455848562,111.12711580574778,24.031883851562714,28.079041724155307,19.984725978970115
Entschuldigung,16.51546554706409,15.415232147604376,17.6156989465238,51.72881031226636,71.1584926341375,73.68584156809968,68.63114370017534,30.842773059874485,31.576541219957477,30.109004899791497
FestellenDiagnose,14.500961242525836,13.478113602417334,15.523808882634341,59.47871756361166,79.66242932224493,64.88422066920042,94.44063797528942,27.907949999646984,24.128660145512203,31.68723985378176
Frech,13.674086827256033,,13.674086827256033,76.29969360470933,74.55119695874934,,74.55119695874934,27.178251954533643,,27.178251954533643
Frieren,13.835116399838622,12.391025537010934,15.279207262666313,43.82602398748961,53.608141684301195,58.93745542554933,48.27882794305305,24.657410278767703,21.79378859311899,27.521031964416423
Frisch,14.254175031472606,15.615532468358579,12.892817594586635,67.17647701997176,85.67316186804334,80.47923582236307,90.86708791372362,22.21388171803575,26.68171911185349,17.746044324218015
Froh,13.04058891229876,12.409573647435252,13.671604177162271,50.133462533990546,68.93693759059849,49.645867846506874,88.22800733469008,20.01355368019342,17.452008529810662,22.575098830576177
Glas,13.614206073928194,13.690433203513741,13.537978944342651,43.71283312723249,50.093194470125496,38.46041037253276,61.72597856771823,19.910261870645147,21.508520165020048,18.312003576270243
IdiomPffIgnorieren,14.847075792591525,15.35714024288411,14.33701134229894,56.8959188120038,73.68159798771275,65.67461846933634,81.68857750608916,26.201992632322266,24.605888861529323,27.79809640311521
Jahr,16.238184316004133,,16.238184316004133,58.935358215463225,61.08649544893101,,61.08649544893101,17.55380990133575,,17.55380990133575
Klar,14.521524942718285,,14.521524942718285,59.33132984073904,56.5325322088743,,56.5325322088743,22.48536125823876,,22.48536125823876
Kochen,14.813067711988197,11.461981205804005,18.16415421817238,53.88516423948878,65.88415325878,77.06712103253662,54.701185485023416,19.994448008767286,15.483108516779238,24.505787500755332
Lesen,11.413542804264111,11.002545053326994,11.82454055520122,52.109141835478205,78.22319442939842,102.26668675549875,54.1797021032981,17.173843506461658,19.58661930586604,14.761067707057276
LiebBitte,13.956421722810761,,13.956421722810761,73.87201620433993,85.24553409219324,,85.24553409219324,25.32814083963556,,25.32814083963556
Luegen,14.792287522647612,,14.792287522647612,76.98782859962249,60.97053597700492,,60.97053597700492,25.13942459424791,,25.13942459424791
Muell,16.393407911399937,,16.393407911399937,85.3314203543018,92.93401246073668,,92.93401246073668,22.058121182693508,,22.058121182693508
Mutter,11.263499186910314,,11.263499186910314,75.87699836070784,60.70598906396324,,60.70598906396324,20.94227438874835,,20.94227438874835
Naehen,15.84846936991302,18.929142900059066,12.767795839766974,43.57691037568188,53.77650303387568,51.79333419078832,55.75967187696302,22.683420720227705,26.15008495426497,19.216756486190448
Nebel,8.625047105930289,9.317496587624888,7.932597624235687,43.59032853379522,53.185332076140384,50.402993111043756,55.96767104123701,15.192888078860792,16.687611651289235,13.698164506432354
Neu,13.8521828039983,16.942269854043463,10.762095753953133,44.31455795053284,60.283541218376044,48.88500228301889,71.6820801537332,18.85316596409463,23.134854905829393,14.571477022359868
Operieren,12.095619093824876,14.546933181783048,9.644305005866702,38.91884974644227,49.56842549888129,47.372135845291865,51.764715152470714,19.487122366921568,27.21344301646526,11.760801717377875
Regen,9.234741690924468,8.806849934159946,9.662633447688991,42.52253365596175,60.22600142053019,58.24958285376328,62.202419987297084,18.212302157162323,18.314042793527623,18.110561520797024
SauerWuetend,12.657520183819285,,12.657520183819285,85.23261436271265,47.15641636363063,,47.15641636363063,22.91869215527728,,22.91869215527728
Schnee,9.142567285515788,8.82800748458427,9.457127086447304,42.53248954429541,65.45184652393274,61.60595832083646,69.29773472702905,17.64417817225513,18.54316454245403,16.745191802056233
Schreiben,11.765591444435849,14.351852520484037,9.17933036838766,53.14252881000725,61.15963513029232,53.23574706501788,69.08352319556673,19.257840449991598,21.62249927828377,16.89318162169943
Schwach,12.593635352325125,13.200177857123109,11.987092847527144,53.37761964026271,104.1526945138257,121.86762320305739,86.43776582459401,29.14101253354613,34.286092502276105,23.99593256481616
Schwer,15.540826997234111,14.67840713595583,16.403246858512393,62.74707975039706,88.83383089872115,86.97813568747873,90.68952610996357,21.49022948237671,20.146325692397255,22.834133272356166
Sonne,13.342638954460488,,13.342638954460488,53.94569267891938,43.49896523142077,,43.49896523142077,22.468757140603252,,22.468757140603252
Sorry,18.276457125197542,,18.276457125197542,85.94823127676338,45.99329458136089,,45.99329458136089,28.406937937388243,,28.406937937388243
SparenSparsam,16.330382085816208,18.513434011192157,14.147330160440259,56.87081581671017,70.96624235746604,78.0687038599562,63.863780854975865,24.292651668800524,31.739924894522044,16.845378443079007
Spezial,12.82993776341383,13.533826990338758,12.126048536488902,47.517065697457106,64.77037615509516,69.1234426510134,60.41730965917689,21.356293108181767,21.470008349493103,21.24257786687043
Tisch,11.861507213710322,14.094421612727395,9.628592814693251,48.949094448091984,87.86892261581782,78.95850531931889,96.77933991231674,26.631922979179002,32.850273862608034,20.413572095749956
Treffen,13.670137902609616,16.503426987251924,10.836848817967317,50.44204806596185,70.19186988479922,62.23863453939534,78.14510523020309,16.755534673804473,19.816306886889755,13.694762460719195
Vater,11.887249161641213,,11.887249161641213,64.03823731213144,63.23834828746389,,63.23834828746389,16.670102784642694,,16.670102784642694
Verschieden,13.755241767323,12.68409218645007,14.826391348195934,45.845335096395154,72.11848332782344,62.04982270640129,82.18714394924558,22.035384350156896,22.381259187679696,21.6895095126341
VorsichtPassAuf,9.639253720690181,7.877210978717533,11.40129646266283,41.40614400050449,51.281283338341105,53.4686593272192,49.093907349463024,14.75581912569914,12.324757151032644,17.186881100365635
Waschen,17.473443723617574,19.782420794692158,15.16446665254299,63.33805329029711,75.94524935370478,63.894289541649414,87.99620916576016,25.548205060968897,26.260881203852,24.835528918085785
Widerspruch,14.032158704430596,17.208632992416884,10.8556844164443,57.11176687991939,67.1909105586997,46.840509199032915,87.54131191836647,27.867605058771947,41.045664842188856,14.689545275355028
Ziel,14.393821666157395,13.959125140911654,14.828518191403136,49.76388450557097,79.82205380246661,86.56802878337592,73.07607882155735,18.526702634025675,15.77107975184836,21.282325516202988
reparieren,13.405502263600676,16.736741411179555,10.074263116021799,55.23079881313719,67.23092469858756,44.31098765806567,90.15086173910946,20.581650999755425,28.244902584345798,12.918399415165053
