row,run_root,All,UBody,UBody-F,UBody-H,LHand,RHand,accepted,fallback,acceptance_rate,evaluator_sha256,implementation_sha256
C0,/home/haipd/DexAvatar/SignEFT-X/runs/signeft_c0_engineering12,41.1539,24.4695,27.7074,38.9223,12.331,11.9162,0,298,0.0,2722b5cd30d4baba23599a455cab483b143e6595d292f02de9643af4eebd5300,
C1,/home/haipd/DexAvatar/SignEFT-X/runs/signeft_c1_engineering12,41.1539,24.4695,27.7074,38.9223,12.331,11.9162,0,298,0.0,2722b5cd30d4baba23599a455cab483b143e6595d292f02de9643af4eebd5300,5cb9078ea5b3902cd0eaa29f27e98fcf459402591fc194a9291bdf1109ddc988
