abstain_left_hand,abstain_right_hand,abstain_upper_body,acceleration_error,aurc_left_hand,aurc_right_hand,aurc_upper_body,clip_id,frames,jerk_error,pa_mpvpe_left_hand_mm,pa_mpvpe_right_hand_mm,pa_mpvpe_upper_body_mm,risk_error_spearman_left_hand,risk_error_spearman_right_hand,risk_error_spearman_upper_body,risk_left_hand,risk_right_hand,risk_upper_body,selective_80_left_hand_mm,selective_80_right_hand_mm,selective_80_upper_body_mm,selective_90_left_hand_mm,selective_90_right_hand_mm,selective_90_upper_body_mm,signer_id,tr_v2v_left_hand_mm,tr_v2v_right_hand_mm,tr_v2v_upper_body_mm,velocity_error
0.0,0.0,0.0,114.11174889405568,9.371160507202148,9.056528091430664,23.89940071105957,Ablehnen,14,2481.57680719549,7.33875172478812,5.989129475184849,23.136062213352748,-0.7494505643844604,0.79340660572052,0.5516483783721924,0.16379605020795548,0.10140614796962057,0.22927434423140117,9.547087669372559,10.432734489440918,26.58138084411621,9.470510482788086,11.147507667541504,26.5703125,unknown,9.37520330292838,11.84138550077166,26.50908429282052,6.031109809875488
0.0,0.0,0.0,117.32601992837314,7.391826629638672,6.206526756286621,23.12981414794922,Akzeptieren,31,3546.101031439645,5.855917961366715,5.492549450166764,15.210271127762333,-0.0370967723429203,-0.04798386991024017,0.5290322303771973,0.0,0.0,0.0,7.913502216339111,6.366457939147949,24.593311309814453,7.8121819496154785,6.260672092437744,24.837968826293945,unknown,7.734618033132246,6.355424158034786,24.99090047036448,5.343982091546058
0.0,0.0,0.0,48.311727573997096,9.38705825805664,7.27906608581543,19.51582145690918,Arzt,21,1275.4836196899414,5.872635341825939,6.663200355711437,20.04032225835891,-0.7623376846313477,0.24285714328289032,-0.16883116960525513,0.0,0.0,0.0,9.582865715026855,7.705529689788818,20.430316925048828,9.505566596984863,7.704222679138184,20.436304092407227,unknown,9.375364121936617,7.707780293055943,20.420590809413365,2.757454872876406
0.0,0.0,0.058823529411764705,101.1593077108264,9.568742752075195,11.346693992614746,23.760269165039062,AufgebenResignieren,34,2651.5431395499936,6.169667328105254,6.845832361894495,21.76412918988396,0.4508785307407379,0.3512605130672455,0.6250572800636292,0.1675260413218947,0.10857402752427493,0.2324148359544137,9.927205085754395,12.212645530700684,24.83721923828125,10.218064308166504,12.148697853088379,25.98482322692871,unknown,10.622538398293887,12.383949658449959,27.493553890901453,3.821917640440392
0.0,0.0,0.0,168.62196428635542,8.542083740234375,13.459280967712402,21.76520347595215,AusgebenGeldVerschwenden,19,4192.886047363281,7.286853313446045,7.076112571515535,19.352298636185495,-0.6157894730567932,-0.6649122834205627,-0.028070176020264626,0.1611909568309784,0.1076662520829,0.23057159781455994,8.73745346069336,13.64626407623291,23.073585510253906,8.62258243560791,13.48388385772705,23.164045333862305,unknown,8.569308657395212,13.477612696195903,23.025879107023542,7.45158175792959
0.0,0.0,0.0,199.23034610170308,10.774520874023438,12.356433868408203,20.83332633972168,Auto,35,5679.380571365356,10.338923563276019,10.971063722882953,19.09807665688651,0.05742296949028969,-0.2288515418767929,0.44117647409439087,0.0,0.0,0.0,11.442459106445312,12.648050308227539,22.44508171081543,11.342779159545898,12.572881698608398,22.600709915161133,unknown,11.241831234523229,12.59775938306536,22.417671312604632,7.05398303226513
0.0,0.0,0.0,119.30405919692096,14.159292221069336,9.55589485168457,22.061046600341797,BesuchenEinmischen,19,3380.771541595459,9.51228982523868,7.855132454320004,19.32323475887901,0.18771930038928986,0.8719298243522644,-0.1473684161901474,0.17571796006277987,0.10505827398676622,0.22817958107120112,15.76303482055664,11.406583786010742,23.227294921875,15.612812042236328,11.796003341674805,23.085594177246094,unknown,15.820682726408306,11.987635863454718,23.113388864617598,5.660430382523272
0.375,0.0,0.08333333333333333,272.0464874397625,44.85346603393555,11.763174057006836,54.999542236328125,Blitz,24,8266.119200206938,11.691035906473795,11.74082918961843,53.443466663360596,0.3852173984050751,0.5686956644058228,0.5973913073539734,0.36558790629108745,0.10190821221719186,0.2371304165571928,48.37543869018555,12.660100936889648,58.44011306762695,49.0537109375,13.017622947692871,59.14201354980469,unknown,49.43175649642944,13.262150367101034,59.816621939341225,9.654604981774868
0.0,0.0,0.0,83.31726891116092,15.213844299316406,10.485453605651855,25.08426856994629,Blume,21,2086.1762330796982,9.293586095174154,7.2044950893947055,20.49481064932687,-0.19740259647369385,-0.5415584444999695,-0.11298701167106628,0.16561571118377505,0.1099191006450426,0.231053345260166,15.616988182067871,10.59791374206543,26.555570602416992,15.565223693847656,10.522808074951172,26.42669105529785,unknown,15.408034915015811,10.41335087730771,26.316456930977957,4.346162658184767
0.0,0.0,0.6842105263157895,185.09934206569895,41.15522003173828,20.49424171447754,53.24504852294922,Boese,19,5088.973487854004,6.401838879836233,11.62050663797479,48.732833661531146,-0.09824561327695847,-0.4368421137332916,0.010526316240429878,0.3076399658855639,0.10730056150963432,0.24188437430482163,43.76241683959961,21.269102096557617,56.851444244384766,42.73197937011719,21.28041648864746,56.48704528808594,unknown,43.11563210738333,21.16701718380577,56.57069898906507,7.1439253489176435
