aggregation,clip_macro_tr_all_mm,clip_macro_tr_left_hand_mm,clip_macro_tr_right_hand_mm,clip_macro_tr_upper_body_minus_face_mm,clip_macro_tr_upper_body_minus_head_mm,clip_macro_tr_upper_body_mm,clip_macro_v2v_left_wrist_mm,clip_macro_v2v_right_wrist_mm,clips,coverage,delta_tr_all_mm,delta_tr_left_hand_mm,delta_tr_right_hand_mm,delta_tr_upper_body_minus_face_mm,delta_tr_upper_body_minus_head_mm,delta_tr_upper_body_mm,frames,method,prediction_format,prediction_root,tr_all_mm,tr_left_hand_mm,tr_right_hand_mm,tr_upper_body_minus_face_mm,tr_upper_body_minus_head_mm,tr_upper_body_mm,v2v_left_wrist_mm,v2v_right_wrist_mm
author_vertex_micro,43.01650560724863,12.749621835909833,11.07617185073203,31.104157000159333,42.37488357774159,27.4551846251438,12.749621835909833,11.07617185073203,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,260,V5,safetensors,signal4d/runs/signal4d_v5_full1493_20260820/predictions,42.93896970624283,12.717843235094662,10.984431669695974,30.88983446799486,41.88709131477147,27.25834510488187,12.717843235094662,10.984431669695974
author_vertex_micro,43.0366882359881,12.76647616429905,11.060484825594068,31.088943502483247,42.21727498782787,27.459707672086875,12.76647616429905,11.060484825594068,12,1.0,-0.01832503130622598,-0.07187819940961404,-0.07111415414336442,-0.09385280924460915,-0.25923572724848043,-0.05721625744238068,260,W1,safetensors,signal4d/runs/v6_safe_cal_w1_20260821/predictions,42.920644674936604,12.645965035685048,10.91331751555261,30.79598165875025,41.62785558752299,27.201128847439488,12.645965035685048,10.91331751555261
author_vertex_micro,43.035758793867444,12.76200956538098,11.060905185990423,31.087587299739713,42.21173011595942,27.45893939497071,12.76200956538098,11.060905185990423,12,1.0,-0.01873492190576087,-0.07489347512437661,-0.07168485629420474,-0.09402711307544465,-0.2619177056875941,-0.057142510093648013,260,W2,safetensors,signal4d/runs/v6_safe_cal_w2_20260821/predictions,42.92023478433707,12.642949759970286,10.91274681340177,30.795807354919415,41.62517360908387,27.20120259478822,12.642949759970286,10.91274681340177
author_vertex_micro,43.03575369331633,12.7619462215313,11.060878593639385,31.087553279846983,42.211690143374724,27.458904345603127,12.7619462215313,11.060878593639385,12,1.0,-0.018741146476322967,-0.07493465666483523,-0.07169389302430673,-0.0940518017619425,-0.2619444167759042,-0.05716787073139429,260,W3,safetensors,signal4d/runs/v6_safe_cal_w3_20260821/predictions,42.92022855976651,12.642908578429827,10.912737776671667,30.795782666232917,41.62514689799556,27.201177234150475,12.642908578429827,10.912737776671667
