clip_id,frames,method,one_handed_class_0,tr_all_mm,tr_left_hand_mm,tr_right_hand_mm,tr_upper_body_minus_face_mm,tr_upper_body_minus_head_mm,tr_upper_body_mm,v2v_left_wrist_mm,v2v_right_wrist_mm
Blitz,24,D5,True,37.577041735415044,,13.273870393405867,28.745524981005065,41.926827298325854,24.91807619583236,,13.273870393405867
Dort,13,D5,True,37.20615243555336,,11.329646214124379,27.00793962179405,42.08903999050746,23.20733885430381,,11.329646214124379
EinstellenJob,34,D5,False,39.41140558441394,11.599030931111216,8.222077287696889,26.275182857093426,37.318467373613025,23.08729780669185,11.599030931111216,8.222077287696889
EisGefroren,30,D5,False,39.602396508490536,10.430301758123818,10.300055451135034,27.947919631488226,38.9178153431111,24.3981843006902,10.430301758123818,10.300055451135032
Frech,25,D5,True,47.24006875592755,,12.672173868792948,39.868940963250914,51.1281185066481,35.626704417633675,,12.672173868792948
Mutter,24,D5,True,47.376598252442555,,9.24695481404668,38.1125886193446,52.53535793218449,33.40390577109941,,9.24695481404668
Neu,13,D5,False,41.64706307135715,13.34860520658836,10.4741854634138,28.520967133742406,40.00004552274427,25.604136855429086,13.34860520658836,10.4741854634138
SauerWuetend,22,D5,True,48.98136114343245,,10.228943612564859,37.98391124832414,46.57949214964733,33.832216852091875,,10.228943612564859
Schwer,21,D5,False,45.52438279559063,13.140358509394039,15.933947288128767,33.390242192195785,43.389778978080834,29.935782056843603,13.140358509394039,15.933947288128767
Treffen,28,D5,False,43.3403747493308,15.151132292488532,9.796100346632269,24.09598395256339,32.78669558590802,21.03815333146591,15.151132292488532,9.796100346632269
VorsichtPassAuf,12,D5,False,43.93131951678536,9.035206392700228,10.392634846406942,31.3698926525462,35.76335981259079,28.40533878041732,9.035206392700228,10.392634846406942
Widerspruch,14,D5,False,44.02346801278626,16.014391070360066,10.549948541853185,29.00164424773868,43.29089423345175,25.43457879572956,16.014391070360066,10.549948541853185
