clip_id,frame_id,method,one_handed_class_0,tr_all_mm,tr_left_hand_mm,tr_right_hand_mm,tr_upper_body_minus_face_mm,tr_upper_body_minus_head_mm,tr_upper_body_mm,v2v_left_wrist_mm,v2v_right_wrist_mm
Blitz,131,D5,True,31.636904095204496,,14.02865007156108,27.519636423776248,38.64046108556354,23.688029272793745,,14.02865007156108
Blitz,133,D5,True,30.968477410778174,,14.207175824984732,26.814630460674916,41.13894215583693,22.72520312921342,,14.207175824984732
Blitz,135,D5,True,31.78464745726032,,14.605142198272166,27.783409916346724,43.911814835072505,23.461112520386564,,14.605142198272162
Blitz,137,D5,True,36.692636537135186,,13.482755054644688,29.074320909273595,45.75076692979421,24.72155899860337,,13.482755054644684
Blitz,139,D5,True,34.00752276487649,,12.74735140961117,25.726835405087204,41.661147203655574,21.84070825255518,,12.74735140961117
Blitz,141,D5,True,36.788597908302776,,12.288437163737784,27.336882566825125,43.59026631562178,23.776747417684206,,12.288437163737784
Blitz,143,D5,True,37.37336117111104,,10.918305456002155,27.39021949207177,40.65460864887362,23.571770482314626,,10.918305456002155
Blitz,145,D5,True,39.38349167491129,,11.529567479285681,28.51234648284545,41.413939009136975,25.074286617226868,,11.529567479285681
Blitz,147,D5,True,39.167846736359024,,12.144059371300047,26.544322356469472,39.84294252565986,23.403475964609168,,12.144059371300045
Blitz,149,D5,True,39.52080878405744,,11.483278579457718,26.109598957825412,40.53793969591017,22.80762281411628,,11.483278579457721
Blitz,151,D5,True,38.46113725323235,,11.293193831389159,26.51336847493293,41.860024520245915,22.78165185493717,,11.293193831389162
Blitz,153,D5,True,37.64924419598737,,11.71950532708811,28.272443126601804,40.64183933712299,24.46534867353615,,11.71950532708811
Blitz,155,D5,True,35.16172160861896,,11.618841144965394,24.897714715267995,37.05261865576151,21.538993508808776,,11.618841144965394
Blitz,157,D5,True,35.45636816631832,,11.979911029441801,24.613880860436524,38.42709975712346,21.331965691522935,,11.9799110294418
Blitz,159,D5,True,38.30392347697575,,10.722989805406888,24.69323842757439,36.733886151784525,21.570048113337315,,10.722989805406888
Blitz,161,D5,True,41.85247209879976,,11.310545310914344,30.486114002421996,44.151864707082375,26.670175585450718,,11.310545310914344
Blitz,163,D5,True,34.03533129965821,,12.57111923931638,26.34989007860946,34.78618161348402,23.167576193832254,,12.57111923931638
Blitz,165,D5,True,35.4933347295936,,14.264137873671844,27.728896359870216,37.209176563803496,24.26033633117889,,14.264137873671844
Blitz,167,D5,True,37.17736937620556,,14.522670814355774,27.873352072387437,36.437738663598275,24.61527944708915,,14.522670814355774
Blitz,169,D5,True,44.14029929009919,,15.115624192373877,35.3456795788266,49.20603361630288,30.683348390653656,,15.115624192373877
Blitz,171,D5,True,44.17464200335393,,16.72873727902806,35.63560821414472,49.85174411823497,31.1400233658552,,16.72873727902806
Blitz,173,D5,True,42.42617549315329,,16.022094349010626,35.961902486861696,48.65556462883424,31.49145421081178,,16.022094349010626
Blitz,175,D5,True,41.06609623145016,,16.601280350321968,34.69537582843361,48.69398768616009,29.880988764715013,,16.601280350321968
Blitz,177,D5,True,39.12659188651839,,16.66751628559935,34.01293234655625,45.393266735156566,29.366123098744172,,16.66751628559935
Dort,171,D5,True,38.31188443781454,,11.308311151865043,25.111892844228937,38.84984045700137,21.58381004342984,,11.308311151865043
Dort,173,D5,True,38.66534345077515,,11.45115231609326,25.534295628462463,39.67006623892356,22.303747314557633,,11.45115231609326
Dort,175,D5,True,39.76858401714974,,11.018391281679735,25.691459396078997,39.947183097617966,22.62817015818665,,11.018391281679733
Dort,177,D5,True,41.24600856839427,,12.169073354120858,30.859058246427473,47.5876700595225,26.58963075598604,,12.169073354120858
Dort,179,D5,True,36.0026747446846,,11.572948180217361,26.677955185634787,42.126698308735946,22.64412966360374,,11.572948180217361
Dort,181,D5,True,35.04479794390926,,11.755595657667673,26.183390919519184,41.470244342569245,22.371426418281043,,11.755595657667673
Dort,183,D5,True,35.48328592725024,,10.830930277154268,26.73326053980896,42.56893901133465,22.82071880002668,,10.830930277154264
Dort,185,D5,True,36.21612408206594,,11.232190523367724,28.09876752735865,43.75034507822017,24.243924343591125,,11.232190523367718
Dort,187,D5,True,38.18897522255708,,11.386339216909366,29.77165334503762,45.551446097234695,25.728928589186285,,11.386339216909366
Dort,189,D5,True,35.48743709927492,,10.801580935852737,26.177992231212503,40.58237404854359,22.393002768326888,,10.801580935852737
