method,slice,clips,tr_v2v_upper_body_mm,tr_v2v_left_hand_mm,tr_v2v_right_hand_mm,velocity_error,acceleration_error,jerk_error
m0_raw,short,10,24.050516061826634,35.21950341478302,22.95494049137687,7.062329537771042,133.7696845113734,3462.4546162274955
m0_raw,long,14,23.97821855011995,37.771367940550114,20.46424397154013,6.007135148028707,147.46052372119132,4008.2019528564815
legacy_full_fallback,short,10,26.33825472080307,25.34451483395673,12.378954142043398,7.061264394306029,134.0474248693693,3480.156536736826
legacy_full_fallback,long,14,25.119832373841888,21.758571163153228,12.676200957191996,6.0291554189060665,147.791117777192,4018.0710534794857
signal4d_m1,short,10,26.33248661467174,24.65150873875773,12.379663399074516,7.0268969135645944,132.43085654525828,3439.777648993593
signal4d_m1,long,14,25.112371574208275,21.903327861963042,12.673767101127543,5.988837999683054,146.25524408555052,3980.1397495813158
