method,tr_v2v_upper_body_mm,tr_v2v_left_hand_mm,tr_v2v_right_hand_mm,velocity_error,acceleration_error,jerk_error,coverage
m0_raw,24.008342513331073,36.70809105481382,21.502034188138776,6.446799477088014,141.75600738376718,3780.8072292610705,1.0
legacy_full_fallback,25.627508351742378,23.252714359321356,12.552348117546748,6.459200825322718,142.06457906559925,3793.94000483671,1.0
signal4d_m1,25.620752841068054,23.04840322729416,12.551223891938783,6.421362547133696,140.49508261042874,3754.9888743364318,1.0
