clip_id,frame_id,legacy_region_tr_hand_pve_mm,legacy_region_tr_left_hand_pve_mm,legacy_region_tr_right_hand_pve_mm,root_aligned_body_mpjpe_mm,root_aligned_body_pve_mm,root_aligned_hand_pve_mm,root_aligned_left_hand_pve_mm,root_aligned_right_hand_pve_mm,wrist_aligned_hand_pve_mm,wrist_aligned_left_hand_pve_mm,wrist_aligned_right_hand_pve_mm
Muell,116,11.492968903800064,,11.492968903800064,58.044578258373036,80.67110501900996,77.05278205959179,,77.05278205959179,15.332864679589918,,15.332864679589918
Muell,118,11.36862081136359,,11.36862081136359,52.49979877727631,73.73178782426174,62.763208849578035,,62.763208849578035,13.901447507005999,,13.901447507005999
Muell,120,11.387691404532408,,11.387691404532408,50.80020958158589,64.12942388523233,55.97304935525213,,55.97304935525213,14.401218410730872,,14.401218410730872
Muell,122,11.629973303169837,,11.629973303169837,57.46447205268829,85.32390100505846,66.2793068150059,,66.2793068150059,12.5165291078636,,12.5165291078636
Muell,124,11.514497805043277,,11.514497805043277,52.46415077377349,78.32654478384947,61.45088954223219,,61.45088954223219,12.282057848174745,,12.282057848174745
Muell,126,11.979218654267344,,11.979218654267344,67.71427107048592,104.27491227719712,114.37685304691273,,114.37685304691273,14.228992188532452,,14.228992188532452
Muell,128,9.704925987162618,,9.704925987162618,61.497717818168404,80.38913764509861,107.93867742511851,,107.93867742511851,20.55474381157742,,20.55474381157742
Muell,130,14.749606495615625,,14.749606495615625,62.67500555460416,93.57195024396337,125.09562879288255,,125.09562879288255,18.725519070760654,,18.725519070760654
Muell,132,13.530150905397539,,13.530150905397539,58.73669488097286,86.18748764653371,94.15159434860233,,94.15159434860233,16.118692746481,,16.118692746481
Muell,134,13.030699503859083,,13.030699503859083,53.04802547423753,76.9318500954974,83.76398027123511,,83.76398027123511,22.27923546095003,,22.27923546095003
Muell,136,14.780115232769315,,14.780115232769315,46.531848866000075,73.03361596244932,81.74691077557002,,81.74691077557002,22.889991794250346,,22.889991794250346
Muell,138,17.582568681154275,,17.582568681154275,57.304813323428846,87.63495077272762,104.87626571338158,,104.87626571338158,24.242978567338568,,24.242978567338568
Muell,140,26.856791636214318,,26.856791636214318,49.85323286033856,77.71943268704588,107.91357031466008,,107.91357031466008,36.95502525744176,,36.95502525744176
Muell,142,27.2247613719049,,27.2247613719049,48.72292291879565,81.21534449534396,98.73506987257082,,98.73506987257082,38.302616338023014,,38.302616338023014
Muell,144,26.72667340518874,,26.72667340518874,45.57081163054087,71.5801492865768,96.13365015499646,,96.13365015499646,35.944245080410475,,35.944245080410475
