clip_id,frame_id,method,one_handed_class_0,tr_all_mm,tr_left_hand_mm,tr_right_hand_mm,tr_upper_body_minus_face_mm,tr_upper_body_minus_head_mm,tr_upper_body_mm,v2v_left_wrist_mm,v2v_right_wrist_mm
Ablehnen,177,M1_alpha1,False,42.40228131995105,9.543394612333019,8.006334952243106,30.148292242658513,50.279420040946874,25.37987169015918,9.543394612333019,8.006334952243106
Ablehnen,179,M1_alpha1,False,39.62193529616154,11.873232205705243,8.052811688099055,32.57720458811948,51.47572286379417,27.693505074310913,11.873232205705243,8.052811688099055
Ablehnen,181,M1_alpha1,False,43.86668892490632,10.49734548030246,8.430075298187951,36.073269066882425,60.57232603866034,30.122985198917434,10.49734548030246,8.430075298187951
Ablehnen,183,M1_alpha1,False,41.932602443093,12.01463357441709,8.076930286968052,33.19761084675626,52.680362669681536,28.093072441371945,12.014633574417088,8.076930286968052
Ablehnen,185,M1_alpha1,False,44.01707125117898,10.529458451306615,8.390033795513329,36.385816422303904,59.836132660797645,30.51501048193622,10.529458451306615,8.390033795513329
Ablehnen,187,M1_alpha1,False,41.83640467734096,11.219942508796374,8.804831958609329,37.673282089684655,59.38512246723757,31.878528018654684,11.219942508796374,8.804831958609329
Ablehnen,189,M1_alpha1,False,43.26679944158103,10.4354582941086,8.624127571460367,35.88455568039833,59.413165285191596,30.107476592501158,10.435458294108598,8.624127571460367
Ablehnen,191,M1_alpha1,False,43.865977729692425,9.833282014088805,11.607188760814003,39.22970838663569,63.54869014322909,33.14352687406617,9.833282014088805,11.607188760814003
Ablehnen,193,M1_alpha1,False,47.00862064455182,9.59740717361243,11.93453617315665,39.816664190397795,63.55923155125283,33.86953343176,9.59740717361243,11.93453617315665
Ablehnen,195,M1_alpha1,False,42.746735155324885,10.953709051719835,12.362394002929918,35.54436593542766,56.91599005807172,30.116560421917715,10.953709051719835,12.362394002929918
Ablehnen,197,M1_alpha1,False,48.65351763503386,11.155054886397643,13.433032262699886,39.70711537467538,64.95931394996639,33.54790403125553,11.155054886397643,13.433032262699886
Ablehnen,199,M1_alpha1,False,42.37660927640808,11.323769650926483,12.510906187713278,37.61245233186423,59.967675291708495,31.817755574848338,11.323769650926483,12.510906187713278
Ablehnen,201,M1_alpha1,False,42.18990938427139,11.75953576423918,12.288310055895618,35.78450990775886,54.231455641626134,30.544409555726187,11.75953576423918,12.288310055895616
Ablehnen,203,M1_alpha1,False,39.587609469597766,13.255831414530252,12.579649593840303,34.94350347313569,49.2437918716975,30.32800959500093,13.255831414530252,12.579649593840303
Ablehnen,205,M1_alpha1,False,40.18394478708978,15.28268096828607,16.56279302215497,38.409340074714585,50.566635664735514,33.71392711356107,15.28268096828607,16.56279302215497
Ablehnen,207,M1_alpha1,False,48.32445797915531,18.06395354237887,24.344799287431005,48.90018777876171,60.914069252246236,43.45601270128528,18.06395354237887,24.344799287431005
Akzeptieren,186,M1_alpha1,False,37.9530382738915,7.803945153368412,6.714092995102621,20.716796731591707,30.2316542125491,17.812763872426572,7.803945153368414,6.714092995102621
Akzeptieren,188,M1_alpha1,False,36.9575087018138,7.829472807667916,7.43193970422133,24.12348409057851,34.746395812700996,21.149567070065963,7.829472807667916,7.431939704221329
Akzeptieren,190,M1_alpha1,False,41.48155183777585,9.661424554389571,7.151384299375824,25.632522363058825,38.72923765740246,22.077710246971737,9.661424554389571,7.151384299375822
Akzeptieren,192,M1_alpha1,False,40.62189981011438,7.106575185593572,6.320783352843515,30.65564217105854,43.24471668421878,26.735470070064974,7.106575185593572,6.320783352843515
Akzeptieren,194,M1_alpha1,False,38.79194754749483,6.548586825812387,8.477941293176515,30.560221306854938,42.79221508109349,26.756268358152592,6.548586825812387,8.477941293176517
Akzeptieren,196,M1_alpha1,False,38.296932906902306,7.673954552992611,10.11506353913403,32.686187315033656,46.72644805376039,28.323081507920694,7.673954552992611,10.11506353913403
