clip_id,frame_id,legacy_region_tr_hand_pve_mm,legacy_region_tr_left_hand_pve_mm,legacy_region_tr_right_hand_pve_mm,root_aligned_body_mpjpe_mm,root_aligned_body_pve_mm,root_aligned_hand_pve_mm,root_aligned_left_hand_pve_mm,root_aligned_right_hand_pve_mm,wrist_aligned_hand_pve_mm,wrist_aligned_left_hand_pve_mm,wrist_aligned_right_hand_pve_mm
Ablehnen,149,15.158608707972146,12.472519421042119,17.844697994902173,61.32854534259136,50.96356556265586,59.784192919747866,61.41987583843443,58.1485100010613,23.846078864642337,12.98961203371317,34.7025456955715
Ablehnen,151,16.566678515842767,13.355447626500341,19.777909405185195,60.316995635347155,49.47803007791336,56.40827133360481,61.12191398372607,51.69462868348355,25.317904986357032,14.885201939348628,35.75060803336544
Ablehnen,153,13.354825564615282,13.667806272955236,13.041844856275329,63.61240131244687,51.41228291223956,62.18046675882479,62.97632490444242,61.384608613207156,20.269370018968814,15.020435434052384,25.518304603885245
Ablehnen,155,14.942044289228118,14.017176709999958,15.86691186845628,62.35610019686502,51.98915583497038,79.43543022026272,65.02639534113551,93.84446509938992,21.513515810994527,17.843463762961257,25.183567859027796
Ablehnen,157,13.964639279266972,14.40331667821567,13.525961880318274,56.52400845352483,55.967565882440404,87.9813704586191,55.49233147447307,120.47040944276513,19.810051308232804,20.2706414822313,19.349461134234307
Ablehnen,159,10.996188383989836,13.81356782246336,8.17880894551631,65.81086876866215,54.427216776297016,84.48366449552485,51.90874256836739,117.05858642268231,16.884254162089192,21.10232950044305,12.666178823735333
Ablehnen,161,11.560048928555322,15.131716553521672,7.9883813035889695,70.3961213236933,58.64422454121557,79.88506848228154,45.52596613607978,114.2441708284833,18.49194642674378,23.465717617190567,13.51817523629699
Ablehnen,163,12.071440693391132,14.448455689088151,9.694425697694113,64.6172548897193,51.9297932251132,78.45754536313254,43.453320911819965,113.46176981444512,18.18051952015774,21.370208005021468,14.990831035294015
Ablehnen,165,10.054486400110688,12.836291437481782,7.272681362739596,63.58580999764535,56.9769725835906,77.84131051379686,38.40604575760105,117.27657526999268,15.525141767946392,19.018303537708242,12.031979998184543
Ablehnen,167,10.304847432360354,13.037790395707182,7.571904469013527,63.17171961936875,52.34765010045953,76.06951386596093,40.8188540316878,111.32017370023405,15.721996629025103,18.938963503280586,12.50502975476962
Ablehnen,169,11.192931876873953,14.337392870936029,8.048470882811879,56.324070594093826,51.94809374464909,72.815270452802,39.22275431635357,106.40778658925043,17.21166758839987,20.57997654880434,13.843358627995402
Ablehnen,171,10.349055130159114,13.194590268151515,7.503519992166712,61.40113934786562,51.99713743891179,73.38019945508023,41.329466750726894,105.43093215943358,16.374514077573025,18.613275652163665,14.135752502982387
Ablehnen,173,10.385337466686778,13.729158235554209,7.041516697819345,62.03318410235221,51.20939292658165,75.44553479874952,42.64306785135567,108.24800174614336,16.807194724539677,19.87547495305116,13.738914496028197
Ablehnen,175,10.47135542944515,13.480124095617533,7.462586763272766,62.33341501051288,49.74130587213827,74.75871019987831,42.66070845211902,106.85671194763759,16.99847214965353,19.705386197236038,14.291558102071019
Akzeptieren,124,6.917882031759554,7.060563799109251,6.775200264409856,51.21939974996143,39.565864371371156,71.5242123144481,64.31975519026476,78.72866943863147,18.048052743075917,18.174467204943102,17.921638281208732
Akzeptieren,126,6.717984154521883,7.221611887144349,6.214356421899417,54.06347222390829,41.86735481716954,75.03523223765797,67.68505808534289,82.38540638997306,17.146363059496693,18.72452032422485,15.568205794768536
Akzeptieren,128,6.655249189174997,7.346017930627739,5.964480447722256,52.780859297980776,42.332903925857444,72.82630653760046,64.74404799841999,80.90856507678095,15.999659080224335,18.400090153607422,13.599228006841248
Akzeptieren,130,7.213838666771403,8.135161403287494,6.292515930255312,54.753423284454115,42.128326361875736,73.25412546930987,62.97120744340116,83.53704349521857,16.34262643261388,18.956539444987314,13.728713420240444
Akzeptieren,132,7.617553700450067,9.058365358788409,6.176742042111724,62.29301271404326,47.01967777594001,85.02983970095124,78.47750865915981,91.58217074274266,16.00249416358686,20.670895819132276,11.334092508041442
Akzeptieren,134,7.333489962174857,8.45232508511392,6.214654839235794,52.70643476468366,46.266864804792355,82.97381533820166,75.52626135241994,90.4213693239834,14.745020778343278,19.85043943063064,9.639602126055918
Akzeptieren,136,7.671481463060491,8.955426287008924,6.387536639112059,61.0343487872617,52.09308571283687,95.46532630217072,89.1557459689203,101.77490663542115,14.330328893169526,19.661147505495276,8.999510280843777
Akzeptieren,138,8.217228083554286,9.645854730177154,6.788601436931415,54.943733780255236,52.740723201894404,100.15136590699962,98.50609350953405,101.79663830446516,14.305812901942655,20.430123305777116,8.181502498108197
Akzeptieren,140,8.20406781021795,9.334833247223852,7.073302373212049,56.478018252213836,51.907034157490024,89.29838969897492,80.44334052291106,98.15343887503879,13.096144049463701,18.496666992967086,7.695621105960316
Akzeptieren,142,8.048409129275202,9.365153000865654,6.73166525768475,55.881094471043475,49.835634044016025,79.58867339475749,79.29748180850997,79.87986498100501,13.252221755386932,18.47948340564817,8.024960105125693
Akzeptieren,144,7.631350777587542,8.846128854396973,6.416572700778111,60.859381427987195,54.702732529118265,88.65559935222325,84.16826402567584,93.14293467877064,11.96702076387986,15.882247511673677,8.051794016086044
Akzeptieren,146,7.132276470118563,7.830358613899241,6.4341943263378845,55.12719955496795,54.413482936956164,76.01689841165533,74.68608090677495,77.34771591653572,12.233910498905455,14.983733476409004,9.484087521401909
