clip_id,legacy_region_tr_hand_pve_mm,legacy_region_tr_left_hand_pve_mm,legacy_region_tr_right_hand_pve_mm,root_aligned_body_mpjpe_mm,root_aligned_body_pve_mm,root_aligned_hand_pve_mm,root_aligned_left_hand_pve_mm,root_aligned_right_hand_pve_mm,temporal_body_acceleration_error_mm_per_s2,temporal_body_high_frequency_energy_ratio,temporal_body_jerk_error_mm_per_s3,temporal_body_motion_amplitude_ratio,temporal_body_spectral_l1_distance,temporal_body_velocity_error_mm_per_s,temporal_hand_acceleration_error_mm_per_s2,temporal_hand_high_frequency_energy_ratio,temporal_hand_jerk_error_mm_per_s3,temporal_hand_motion_amplitude_ratio,temporal_hand_spectral_l1_distance,temporal_hand_velocity_error_mm_per_s,temporal_left_hand_acceleration_error_mm_per_s2,temporal_left_hand_high_frequency_energy_ratio,temporal_left_hand_jerk_error_mm_per_s3,temporal_left_hand_motion_amplitude_ratio,temporal_left_hand_spectral_l1_distance,temporal_left_hand_velocity_error_mm_per_s,temporal_right_hand_acceleration_error_mm_per_s2,temporal_right_hand_high_frequency_energy_ratio,temporal_right_hand_jerk_error_mm_per_s3,temporal_right_hand_motion_amplitude_ratio,temporal_right_hand_spectral_l1_distance,temporal_right_hand_velocity_error_mm_per_s,wrist_aligned_hand_pve_mm,wrist_aligned_left_hand_pve_mm,wrist_aligned_right_hand_pve_mm
Ablehnen,12.240892007035542,13.708953862659625,10.772830151411458,62.41511675676346,52.78802767708402,74.20903923701903,49.42898345130875,98.98909502272923,2811.6914160807482,0.9687579791960508,81227.48550136283,0.8740403130474358,0.03384295108179412,119.2761040702913,3320.7614282797235,1.0655516281840787,89457.61439551905,0.9499240337712842,0.07362994382820053,178.43583158402507,2671.0831009700255,1.1593010218221567,79192.95074315551,1.0712335744073906,0.11733637437028324,120.8394914818538,3970.4397555894216,0.9718022345460008,99722.27804788257,0.8286144931351779,0.02992351328611782,236.03217168619634,18.7823305739517,18.83421358337185,18.730447564531556
Akzeptieren,7.6393314385496485,8.714191200765882,6.564471676333415,59.441043411096544,47.173322153323,73.10681529606416,74.1341703292259,72.0794602629024,3340.6622297228473,1.5011287501573167,94760.69246832248,0.9733272750243335,0.17788182347137607,131.0111524596802,3881.054633833825,1.2586986208683975,109182.33969773047,0.9626580778645377,0.15083641855074587,160.56517193735812,4045.1301368186696,1.394795625927646,113101.11350212329,1.0414665417072606,0.14081056671515088,164.22275488714678,3716.9791308489803,1.1226016158091492,105263.56589333764,0.8838496140218149,0.16086227038634085,156.90758898756943,14.363037242972007,18.90272660397133,9.823347881972683
Arzt,8.905087734941768,9.691220513173064,8.118954956710478,68.24990881881548,52.133667263685346,53.94721270392673,54.39264420375372,53.50178120409975,1598.1373268735608,0.9233306084426628,40654.24860374137,1.563525024114797,0.378168519618841,70.78836265297763,2122.985939953026,1.4183858874672968,55001.03735085589,1.520438552741965,0.20789375725404247,87.54234160620885,2302.1599153599395,1.8227953224876106,59245.33435264579,2.029434945924781,0.32943850519950074,90.94658525851793,1943.811964546113,1.0139764524469828,50756.74034906599,1.0114421595591492,0.0863490093085842,84.13809795389979,16.274590592932434,23.1889947515584,9.360186434306474
AufgebenResignieren,11.356543611164087,11.72073991404452,10.992347308283648,54.155739488954794,46.4425365408453,73.19894615865665,72.78201112144943,73.61588119586388,3857.7187929656407,1.8888597199331578,99337.64724826418,1.1285795954553945,0.26378753876136385,169.81707398317164,5959.156656877035,1.624433937552447,139695.89149336034,1.1016781385004117,0.24271237291819622,298.3807926269081,6090.419488605906,1.9537963567702301,147849.82946610093,1.141253568428149,0.1943284818225327,285.30499224444134,5827.893825148164,1.2950715183346642,131541.95352061975,1.0621027085726742,0.29109626401385974,311.45659300937484,24.986022727034797,28.225423297478223,21.746622156591375
AusgebenGeldVerschwenden,13.027341486222069,12.322590540838156,13.732092431605981,56.97339050381129,51.489715509692466,74.33859235121803,62.785085792003585,85.89209891043248,4196.423530565596,1.3988486179778137,113903.7388115938,0.9068377696295249,0.16736287987203347,183.32101176809454,5373.43753899605,1.7524549596803858,139353.04503399748,0.8519190111689259,0.13633728853035207,268.80342498787047,4984.1984071805,2.3343718629732404,125047.31132876752,0.8374808943002546,0.17124944617797833,221.19749773609794,5762.676670811599,1.1705380563875312,153658.77873922742,0.8663571280375972,0.10142513088272583,316.40935223964306,28.66699551728835,18.421697539006857,38.91229349556984
Auto,13.505015505830428,13.080201855676263,13.929829155984596,50.80542737229754,41.45025958743696,55.9949365276018,56.78125196456213,55.20862109064147,3231.9201856052964,1.773439353708784,87333.14376913446,1.0284097699820298,0.060820841903114126,140.81033072915992,4237.3357231458895,1.3198506475114384,108851.61769490286,1.0021648526254625,0.06010905039475195,216.76313078052374,4704.885778649407,1.2524489111181252,118067.16345743698,0.9993077794604525,0.05387938348692036,220.56973351843595,3769.785667642372,1.387252383904752,99636.07193236874,1.0050219257904724,0.06633871730258353,212.95652804261155,21.259383494138177,21.413489219661077,21.105277768615288
BesuchenEinmischen,15.549219084793195,17.218117786613625,13.880320382972767,50.17760947831089,48.79572319507681,64.01257751750366,60.31048602783712,67.7146690071702,4418.723489979021,1.6794803172879347,117674.12795030694,1.0714348469917419,0.16804525516197594,187.58689827549964,6800.260692429691,1.5097165118221767,179546.52867912495,1.0395273926193505,0.15104655269773118,278.98025147750207,7314.917436207417,1.790284128332675,195103.35598087165,1.153509432909286,0.23342389038463357,286.2689699331592,6285.603948651965,1.2291488953116787,163989.70137737828,0.9255453523294147,0.0686692150108288,271.6915330218449,25.616762350341844,26.600706218311522,24.632818482372162
Blitz,13.663853691814381,,13.663853691814381,51.462896944909595,70.9106849921932,63.220817566694386,,63.220817566694386,4767.54680707399,1.1991053208555544,126208.55373456232,1.0716514531833958,0.04341537073047442,205.82233061357812,3933.6553917334572,0.9323493981135521,93640.63471185125,1.0238248585103653,0.03974922399187625,211.37690793979073,,,,,,,3933.6553917334572,0.9323493981135521,93640.63471185125,1.0238248585103653,0.03974922399187625,211.37690793979073,19.21503279951693,,19.21503279951693
Blume,15.7367637522804,20.895486360454072,10.57804114410672,66.02936760307713,53.58569612141942,64.23264262371629,61.51015234591824,66.95513290151435,5746.285309812948,1.443975338447332,154550.0931709438,1.0213289549512938,0.16611517391337596,220.08507504656654,5886.154722694846,1.2810299019472964,157899.8857670652,0.9271258546170171,0.12063295521980144,236.46232531195713,4491.742347267731,1.492052098934686,122249.15944327791,0.88897941672282,0.1775653373559496,182.23471817392692,7280.567098121961,1.0700077049599068,193550.61209085246,0.9652722925112143,0.06370057308365328,290.68993244998734,22.42707340265563,30.66642462637311,14.18772217893815
Boese,22.05771070217517,,22.05771070217517,49.24707548462366,68.42527261640977,90.51152955825619,,90.51152955825619,5821.381026259898,1.055294471918615,150674.61495952893,2.5269746106796345,0.20745669411004145,260.3526284215462,11411.945511711538,0.9047167357179766,224137.724999593,2.2424345205979037,0.29386095849637056,639.6728367459198,,,,,,,11411.945511711538,0.9047167357179766,224137.724999593,2.2424345205979037,0.29386095849637056,639.6728367459198,46.584256813357634,,46.584256813357634
