aggregation,clip_macro_tr_all_mm,clip_macro_tr_left_hand_mm,clip_macro_tr_right_hand_mm,clip_macro_tr_upper_body_minus_face_mm,clip_macro_tr_upper_body_minus_head_mm,clip_macro_tr_upper_body_mm,clip_macro_v2v_left_wrist_mm,clip_macro_v2v_right_wrist_mm,clips,coverage,delta_tr_all_mm,delta_tr_left_hand_mm,delta_tr_right_hand_mm,delta_tr_upper_body_minus_face_mm,delta_tr_upper_body_minus_head_mm,delta_tr_upper_body_mm,frames,method,prediction_root,tr_all_mm,tr_left_hand_mm,tr_right_hand_mm,tr_upper_body_minus_face_mm,tr_upper_body_minus_head_mm,tr_upper_body_mm,v2v_left_wrist_mm,v2v_right_wrist_mm
author_vertex_micro,42.82969254351097,14.220032985734722,12.831171904359666,33.517024461925985,45.85124843308279,29.529681815356785,14.220032985734722,12.831171904359666,56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,769,A1,signal4d/runs/extended_post_a1_baseline/predictions,43.01737473659376,14.491807511295384,12.8413473937811,33.24321661370596,45.56813259606673,29.293789875353987,14.491807511295384,12.841347393781097
author_vertex_micro,42.795135593457935,13.658953203854946,12.832313330192962,33.4445711837325,45.60022169225872,29.490031022172275,13.658953203854946,12.832313330192964,56,1.0,-0.018012267367417678,-0.46136807359243903,0.0006222425029989154,-0.05246560408546941,-0.21246163581603383,-0.02176783030833107,769,M1_alpha1,signal4d/runs/extended_post_m1_a1_v5/predictions,42.99936246922634,14.030439437702945,12.841969636284098,33.19075100962049,45.3556709602507,29.272022045045656,14.030439437702945,12.841969636284098
author_vertex_micro,42.839905791205766,13.824304512967712,12.833520656115287,33.50999204590352,45.61731645540345,29.557777629129276,13.824304512967712,12.833520656115287,56,1.0,0.043933744991591084,-0.25865679688249443,0.0016422830193931759,0.036866308422027316,-0.152110074516429,0.06586177075499933,769,M1_alpha1p5,signal4d/runs/extended_post_m1_a1_v5_extrap_alpha_1p5/predictions,43.06130848158535,14.23315071441289,12.842989676800492,33.28008292212799,45.4160225215503,29.359651646108986,14.23315071441289,12.84298967680049
author_vertex_micro,43.225571950300996,15.982592153655807,12.837417215044242,34.09094029485152,46.25835894185882,30.086462881839925,15.982592153655807,12.837417215044242,56,1.0,0.5148120056541714,1.9181340777557985,0.004952170193417871,0.7440444629453822,0.7164686354017178,0.6970291747750963,769,M1_alpha3,signal4d/runs/extended_post_m1_a1_v5_extrap_alpha_3p0/predictions,43.53218674224793,16.409941589051183,12.846299563974517,33.98726107665134,46.28460123146845,29.990819050129083,16.409941589051183,12.846299563974517
author_vertex_micro,42.76996853728151,13.606809251635212,12.833155090397302,33.4107817421585,45.56699433209574,29.457868127296276,13.606809251635212,12.833155090397302,56,1.0,-0.010179658858639584,-0.4564447039329256,0.0011666252401649757,-0.039032214753810024,-0.15458011678281736,-0.01639581160431902,769,SIGNAL4D_v5,signal4d/runs/extended_post_a1_multiscale_v5/predictions,43.00719507773512,14.035362807362459,12.842514019021264,33.20418439895215,45.413552479283915,29.277394063749668,14.035362807362459,12.842514019021264
