clip_id,frame_id,method,one_handed_class_0,tr_all_mm,tr_left_hand_mm,tr_right_hand_mm,tr_upper_body_minus_face_mm,tr_upper_body_minus_head_mm,tr_upper_body_mm,v2v_left_wrist_mm,v2v_right_wrist_mm
Ablehnen,177,SIGNAL4D_v5,False,42.430614611606956,9.54329678181638,8.007752175748315,30.12709771724467,50.27689247586346,25.342341909044666,9.54329678181638,8.007752175748314
Ablehnen,179,SIGNAL4D_v5,False,39.63471180911428,11.873289758018833,8.053090323926348,32.57520882128111,51.473378119243115,27.619982727609067,11.873289758018835,8.053090323926348
Ablehnen,181,SIGNAL4D_v5,False,43.86169537085748,10.497964889320594,8.429584964760389,36.02323701927187,60.57207894314349,30.143130310563894,10.497964889320594,8.429584964760389
Ablehnen,183,SIGNAL4D_v5,False,41.92305704546594,12.014388428213325,8.076343710938952,33.22185682661383,52.68297026350148,28.11930581620961,12.014388428213325,8.076343710938952
Ablehnen,185,SIGNAL4D_v5,False,44.008215596137845,10.527973677155861,8.390211023842557,36.332863476209305,59.837190367265684,30.53237527738555,10.52797367715586,8.390211023842555
Ablehnen,187,SIGNAL4D_v5,False,41.83522887912892,11.220130864007496,8.806956314736798,37.63111160652726,59.38673567257826,31.880485248601804,11.220130864007494,8.806956314736798
Ablehnen,189,SIGNAL4D_v5,False,43.253502085927465,10.436967199539879,8.624326692653055,35.89239476050962,59.41251375106756,30.137737312249406,10.436967199539877,8.624326692653057
Ablehnen,191,SIGNAL4D_v5,False,43.86169107687967,9.833188906847678,11.607344963986062,39.230767404682574,63.54905961084351,33.17003600597249,9.833188906847676,11.607344963986062
Ablehnen,193,SIGNAL4D_v5,False,46.99447266951358,9.599055746505577,11.934579738088317,39.82003734032588,63.560541661407555,33.90253172539636,9.599055746505579,11.934579738088315
Ablehnen,195,SIGNAL4D_v5,False,42.734582539247924,10.954621445561804,12.361579398763777,35.55656735363599,56.91425347373488,30.15324884288734,10.954621445561802,12.361579398763771
Ablehnen,197,SIGNAL4D_v5,False,48.647104405575185,11.153461304431346,13.43307159621909,39.69827525076872,64.96199157355026,33.54454805270812,11.153461304431348,13.43307159621909
Ablehnen,199,SIGNAL4D_v5,False,42.385819043267894,11.324261759892506,12.511987453639,37.55533482440575,59.96583744181871,31.75091666794772,11.324261759892508,12.511987453639
Ablehnen,201,SIGNAL4D_v5,False,42.18465349437583,11.759286718686429,12.28694219494685,35.79269753609244,54.22799557189616,30.56637376751126,11.759286718686429,12.286942194946851
Ablehnen,203,SIGNAL4D_v5,False,39.59109266643222,13.25538785715656,12.577203940081791,34.99433289819395,49.2491908370998,30.371934205393096,13.25538785715656,12.577203940081791
Ablehnen,205,SIGNAL4D_v5,False,40.19362958161435,15.28258278230487,16.563326193601096,38.46259598920478,50.56717241066401,33.76401457193575,15.282582782304875,16.563326193601092
Ablehnen,207,SIGNAL4D_v5,False,48.30075185022,18.064018904942795,24.344733646551276,48.86246058962571,60.91128676361498,43.402718672451385,18.06401890494279,24.344733646551273
Akzeptieren,186,SIGNAL4D_v5,False,37.976334101187604,7.02509708804771,6.7066620838995545,20.746031355814647,30.512276836635756,17.828107996635502,7.02509708804771,6.706662083899553
Akzeptieren,188,SIGNAL4D_v5,False,37.07098164949964,7.233618860763566,7.424916270598912,24.23988316469017,35.303710349129126,21.215022758719133,7.233618860763567,7.424916270598911
Akzeptieren,190,SIGNAL4D_v5,False,41.82585932635307,8.456943081018633,7.140847407788591,25.994347988354583,40.007702127737105,22.332150038828,8.45694308101863,7.140847407788589
Akzeptieren,192,SIGNAL4D_v5,False,40.72063614949386,7.611988498379693,6.3194518512927225,30.725457055389207,43.672335672668645,26.796857324186988,7.611988498379693,6.319451851292724
Akzeptieren,194,SIGNAL4D_v5,False,39.01753267937596,7.103566613883199,8.462562230702959,30.947272159319816,43.93409158161243,26.982523134488964,7.103566613883199,8.46256223070296
Akzeptieren,196,SIGNAL4D_v5,False,38.3670175781424,7.746103958577379,10.122341717505604,32.834408478764125,46.863892815629704,28.456294891847836,7.74610395857738,10.122341717505604
Akzeptieren,198,SIGNAL4D_v5,False,50.305840680857834,11.066058393249861,12.359855634768339,49.46528776930648,56.38092968841641,44.52944561339027,11.066058393249868,12.359855634768339
Akzeptieren,200,SIGNAL4D_v5,False,57.2911332105627,12.441343423759845,13.167134975761604,58.67744397091482,63.162129711336206,53.03586281394946,12.441343423759845,13.167134975761607
Arzt,208,SIGNAL4D_v5,False,50.41376687607065,11.242156348973468,6.924895376987893,23.83101984992924,33.165021820165435,20.99140250274722,11.242156348973467,6.924895376987892
Arzt,210,SIGNAL4D_v5,False,47.16146064570633,13.36681426726506,7.97308592226713,22.443073386963626,31.99713567656993,19.845630231815367,13.366814267265061,7.97308592226713
Arzt,212,SIGNAL4D_v5,False,50.7703386913009,10.611983625135174,7.949806836094411,27.023331942211726,34.905694090644175,24.049466464786324,10.61198362513517,7.949806836094409
Arzt,214,SIGNAL4D_v5,False,43.31931664993577,13.185534488189582,7.629961386174855,21.95116952351333,32.25006468469174,19.234879419769754,13.18553448818958,7.629961386174855
Arzt,216,SIGNAL4D_v5,False,45.60172547200978,10.368804181022883,6.798192346234159,25.46778902307268,36.71353462385159,22.41076019242661,10.368804181022888,6.798192346234157
Arzt,218,SIGNAL4D_v5,False,43.15611128120963,12.297168796654885,7.043741567789065,23.795150667217637,33.71986176400077,21.142681659052563,12.297168796654885,7.043741567789067
Arzt,220,SIGNAL4D_v5,False,46.27614233265757,12.752229582478078,7.00293696034515,23.956579414347814,34.24476786722238,21.375791256505167,12.75222958247808,7.0029369603451475
Arzt,222,SIGNAL4D_v5,False,45.09450930556016,12.506887040019127,7.37626826694157,23.586050079419692,33.92941187698729,20.954193803417763,12.506887040019127,7.37626826694157
Arzt,224,SIGNAL4D_v5,False,48.46200459412611,9.922545692270113,6.7384005222297745,26.225942074193263,36.82864873433059,23.253059879847466,9.922545692270115,6.7384005222297745
Arzt,226,SIGNAL4D_v5,False,43.83379002380798,10.851887480683308,7.668315989744331,24.19483491350994,33.87461521087043,21.393933691783882,10.851887480683306,7.668315989744329
Arzt,228,SIGNAL4D_v5,False,41.79144125387671,13.449844742788173,6.744914170921552,21.341654497075535,32.72279908149668,18.651022272013584,13.449844742788178,6.744914170921554
Arzt,230,SIGNAL4D_v5,False,40.62857862118948,12.618249178680601,5.95902104317456,22.099184400568774,33.73771746402905,19.49349551534909,12.618249178680601,5.959021043174559
Arzt,232,SIGNAL4D_v5,False,38.08145327390647,12.868310933806203,6.919133132713557,25.211181986726334,36.60458808753916,22.250021685558764,12.868310933806203,6.919133132713557
Arzt,234,SIGNAL4D_v5,False,39.18999784656491,11.698666796822605,8.58473706260765,24.506767250957548,37.15310397964681,21.98958982925369,11.698666796822605,8.584737062607646
Arzt,236,SIGNAL4D_v5,False,40.72346679648056,13.027552967774007,10.633044988302668,26.56532718613171,36.897762103481504,23.863614084606034,13.027552967774003,10.63304498830267
Arzt,238,SIGNAL4D_v5,False,37.89144621119153,16.814828731955433,12.134894406936665,32.84454384799604,41.246376363064755,29.346490081389344,16.814828731955433,12.134894406936661
Arzt,240,SIGNAL4D_v5,False,41.29624814248371,25.785360170132503,12.641795653815839,39.39747021335235,55.54463490198492,34.37082202151012,25.785360170132503,12.641795653815837
Arzt,242,SIGNAL4D_v5,False,43.38226405251334,28.821376160849823,13.425220949594122,44.34549427300034,61.139209687904334,38.81051762812649,28.821376160849823,13.425220949594122
Arzt,244,SIGNAL4D_v5,False,43.687592071706874,21.718195369885855,13.649050821786116,44.465858002766936,57.08645195509448,39.60727584481599,21.718195369885855,13.64905082178612
Arzt,246,SIGNAL4D_v5,False,49.97157642554651,14.014768123589779,25.08168774549752,47.33713554365544,36.91452248820561,44.84612124062398,14.014768123589777,25.081687745497522
Arzt,248,SIGNAL4D_v5,False,47.13509430510613,14.322109910093285,10.797774127139974,44.645735107354376,37.88993342583185,42.23612500842136,14.322109910093287,10.797774127139974
AufgebenResignieren,190,SIGNAL4D_v5,False,41.36408183931411,8.742494500470297,10.787513471915771,25.616778961981957,36.49561277483827,22.17746593249103,8.7424945004703,10.787513471915771
AufgebenResignieren,192,SIGNAL4D_v5,False,43.6021182046016,7.141321307589912,9.223670438415454,29.87947722225835,41.990604778496476,25.948294119729887,7.141321307589912,9.223670438415454
AufgebenResignieren,194,SIGNAL4D_v5,False,42.401994682746505,7.556302088606966,8.327043135188804,29.070697817477964,41.31702110026373,25.193180797239354,7.556302088606964,8.327043135188804
AufgebenResignieren,196,SIGNAL4D_v5,False,41.79400346323061,6.930749789846311,8.17501079722583,26.90605388832751,39.92497851368902,23.0741695212144,6.93074978984631,8.175010797225829
AufgebenResignieren,198,SIGNAL4D_v5,False,42.344036610336715,8.186830532190566,7.281041043822251,26.13898435735421,37.915584909899195,22.509969387209733,8.186830532190566,7.28104104382225
AufgebenResignieren,200,SIGNAL4D_v5,False,40.989211892052,8.774453475916356,7.038481278822632,30.92377048528443,40.36894830769934,27.04973908064326,8.774453475916358,7.038481278822629
AufgebenResignieren,202,SIGNAL4D_v5,False,39.30470239584643,9.783697327302216,7.412203893780723,32.46142657739616,39.92169828655954,28.797238541029927,9.783697327302217,7.4122038937807195
AufgebenResignieren,204,SIGNAL4D_v5,False,40.233532753679434,7.363123247406838,6.314675062691587,29.22004546505812,43.76389747720446,25.09788762816234,7.363123247406838,6.314675062691587
AufgebenResignieren,206,SIGNAL4D_v5,False,41.27821269466401,8.519670363668261,6.789454347501428,27.353421207869037,45.41029058998928,23.033022217192453,8.519670363668261,6.7894543475014295
AufgebenResignieren,208,SIGNAL4D_v5,False,39.8796676709684,9.65871168655778,7.351706472253652,30.989559804866452,48.50756309799602,26.316889562536847,9.65871168655778,7.351706472253653
AufgebenResignieren,210,SIGNAL4D_v5,False,44.05598494348375,9.937660348459598,8.913030399028115,41.94564869522933,59.96523583648649,36.34791135750659,9.937660348459596,8.913030399028115
AufgebenResignieren,212,SIGNAL4D_v5,False,54.7392942292336,14.316649402847814,13.331757037516196,56.070220908373834,59.43531873905196,50.74978312665721,14.316649402847816,13.331757037516196
AusgebenGeldVerschwenden,158,SIGNAL4D_v5,False,42.684227992182414,8.169251598743742,11.826292267388805,28.85206882708659,46.02779542307397,24.595739405186034,8.169251598743744,11.826292267388805
AusgebenGeldVerschwenden,160,SIGNAL4D_v5,False,39.59582280368091,8.932272922474661,12.321995362962278,25.770273912693217,40.396792684566364,22.001584472715088,8.93227292247466,12.321995362962276
AusgebenGeldVerschwenden,162,SIGNAL4D_v5,False,36.76178025143315,8.835526232764467,12.36077778925443,24.15262246317827,36.47378620255884,20.859063880823125,8.835526232764467,12.360777789254435
AusgebenGeldVerschwenden,164,SIGNAL4D_v5,False,40.42750432008644,8.361966549862542,13.091291239116334,27.857834464087137,44.45877962720014,23.633671832623108,8.361966549862542,13.091291239116334
AusgebenGeldVerschwenden,166,SIGNAL4D_v5,False,37.17984629546758,9.023858620480857,13.42270197561506,28.91318298595179,42.95856302154084,24.736682589326264,9.023858620480857,13.42270197561506
AusgebenGeldVerschwenden,168,SIGNAL4D_v5,False,40.49916291679197,8.74788725865254,14.113808083530406,27.495634018592863,41.07659088748405,23.886412654885667,8.74788725865254,14.113808083530406
AusgebenGeldVerschwenden,170,SIGNAL4D_v5,False,41.09560117823236,9.40538255648059,14.446622257790786,28.59117942292305,42.01866172940883,24.75506007930205,9.405382556480587,14.446622257790786
Auto,174,SIGNAL4D_v5,False,38.869470769199935,12.187858824778218,13.865242500641598,23.160964828825396,34.48861933964061,20.76193422451497,12.187858824778218,13.865242500641598
Auto,176,SIGNAL4D_v5,False,39.7510305913029,12.067295304101062,13.689567639422531,24.036155997882812,35.278534202490206,21.61525137764554,12.067295304101062,13.689567639422531
Auto,178,SIGNAL4D_v5,False,37.73930800648408,11.39502861176554,12.506001493386131,26.341786880435656,37.37178926606684,23.33311382123259,11.39502861176554,12.506001493386131
Auto,180,SIGNAL4D_v5,False,34.99703250337826,12.116690166887288,13.531862915853937,23.26350144120365,34.88323242029542,20.32714799124672,12.116690166887292,13.531862915853937
Auto,182,SIGNAL4D_v5,False,34.49501284833626,11.707633415313824,13.75962227779769,22.745851590274984,33.00849405115156,20.15076724772934,11.707633415313824,13.75962227779769
Auto,184,SIGNAL4D_v5,False,38.58476235331374,11.17023620415263,14.195973153082052,23.02073263353007,33.68529084567948,20.453224327299615,11.17023620415263,14.195973153082056
Auto,186,SIGNAL4D_v5,False,39.05031428527306,11.993148835460723,14.083145032450044,22.14253761528492,32.751957187678116,19.866147418702077,11.99314883546072,14.083145032450044
Auto,188,SIGNAL4D_v5,False,36.03628859673828,11.396113059870427,13.653482060083604,22.247072307275392,32.28882456177949,19.484422799697985,11.396113059870425,13.653482060083604
Auto,190,SIGNAL4D_v5,False,35.638231293409554,10.737613390384409,11.907128764419268,22.55167047002979,30.02654558368828,19.972525189572668,10.737613390384409,11.907128764419268
Auto,192,SIGNAL4D_v5,False,35.89750153831918,10.15527875769971,8.285203294496261,21.379803621773515,30.01106835047258,19.0888653215072,10.155278757699708,8.285203294496258
Auto,194,SIGNAL4D_v5,False,33.93108413325321,9.279361101906968,6.337706682720305,21.374680067673598,27.03880695166407,18.999558900957737,9.279361101906968,6.337706682720306
Auto,196,SIGNAL4D_v5,False,33.0889821525344,8.734678089116635,7.254337974717986,22.921750627194914,29.03292076951093,20.49556053212077,8.734678089116636,7.254337974717986
Auto,198,SIGNAL4D_v5,False,44.202371096589744,7.6863550544688595,7.469269973160344,41.423679613204094,44.55430587505325,37.82345156781182,7.68635505446886,7.469269973160342
Auto,200,SIGNAL4D_v5,False,52.13109163678154,9.32076609430358,9.575939851260502,49.98500331508978,54.27546549179738,45.372116745364785,9.320766094303583,9.575939851260502
Auto,202,SIGNAL4D_v5,False,54.38495502688108,16.09051271378373,12.65953202994825,52.97893426760501,56.59076733875288,47.85705810338902,16.09051271378373,12.65953202994825
BesuchenEinmischen,210,SIGNAL4D_v5,False,32.24946046125239,17.954615334999495,15.518949472575922,23.17633892477005,32.17241120445563,20.790890167013398,17.9546153349995,15.51894947257592
BesuchenEinmischen,212,SIGNAL4D_v5,False,31.331459593761164,12.987968134089662,15.54835306004227,23.000260142727967,33.00478478279904,20.646131025167737,12.987968134089662,15.54835306004227
BesuchenEinmischen,214,SIGNAL4D_v5,False,32.48220987133869,12.798728903078121,14.893807449120194,22.39514627695331,33.628215354253356,20.29893244319259,12.798728903078121,14.893807449120192
BesuchenEinmischen,216,SIGNAL4D_v5,False,33.16335517882306,16.191728475809914,14.210046892943756,21.838897441447976,31.948462478163375,19.890730064747487,16.191728475809914,14.210046892943756
BesuchenEinmischen,218,SIGNAL4D_v5,False,33.1223464108333,18.34462530831936,13.167569543790798,24.998637432874844,34.61034704775318,22.350189876402222,18.344625308319355,13.167569543790796
BesuchenEinmischen,220,SIGNAL4D_v5,False,32.78517472287158,11.493598869697475,12.051468219740638,22.504791971291123,34.25830954887442,20.16911426557129,11.493598869697475,12.051468219740634
BesuchenEinmischen,222,SIGNAL4D_v5,False,34.184379658800644,16.846921198002907,12.236925271783846,25.323145193666853,34.54456821036099,22.590777418410475,16.846921198002907,12.23692527178385
BesuchenEinmischen,224,SIGNAL4D_v5,False,32.41995763507709,13.048684711387846,12.45982232088578,20.920222211145855,31.762519264061616,18.70737942723144,13.048684711387843,12.45982232088578
BesuchenEinmischen,226,SIGNAL4D_v5,False,34.09883801446398,18.503744067704407,12.034352562678855,24.03658718711195,34.03210510749165,21.44777719299576,18.503744067704407,12.034352562678855
BesuchenEinmischen,228,SIGNAL4D_v5,False,32.938413848414676,18.22927514235668,10.4218739719799,21.883524269706605,31.304540807603697,19.46776206751255,18.22927514235668,10.4218739719799
BesuchenEinmischen,230,SIGNAL4D_v5,False,34.733486269934055,22.100679763811915,10.723138550074367,25.428192240881295,33.63332397567086,22.699375582813964,22.100679763811915,10.723138550074367
