clip_id,legacy_region_tr_hand_pve_mm,legacy_region_tr_left_hand_pve_mm,legacy_region_tr_right_hand_pve_mm,root_aligned_body_mpjpe_mm,root_aligned_body_pve_mm,root_aligned_hand_pve_mm,root_aligned_left_hand_pve_mm,root_aligned_right_hand_pve_mm,temporal_body_acceleration_error_mm_per_s2,temporal_body_high_frequency_energy_ratio,temporal_body_jerk_error_mm_per_s3,temporal_body_motion_amplitude_ratio,temporal_body_spectral_l1_distance,temporal_body_velocity_error_mm_per_s,temporal_hand_acceleration_error_mm_per_s2,temporal_hand_high_frequency_energy_ratio,temporal_hand_jerk_error_mm_per_s3,temporal_hand_motion_amplitude_ratio,temporal_hand_spectral_l1_distance,temporal_hand_velocity_error_mm_per_s,temporal_left_hand_acceleration_error_mm_per_s2,temporal_left_hand_high_frequency_energy_ratio,temporal_left_hand_jerk_error_mm_per_s3,temporal_left_hand_motion_amplitude_ratio,temporal_left_hand_spectral_l1_distance,temporal_left_hand_velocity_error_mm_per_s,temporal_right_hand_acceleration_error_mm_per_s2,temporal_right_hand_high_frequency_energy_ratio,temporal_right_hand_jerk_error_mm_per_s3,temporal_right_hand_motion_amplitude_ratio,temporal_right_hand_spectral_l1_distance,temporal_right_hand_velocity_error_mm_per_s,wrist_aligned_hand_pve_mm,wrist_aligned_left_hand_pve_mm,wrist_aligned_right_hand_pve_mm
Ablehnen,10.362593270345531,9.161933578010602,11.563252962680455,62.5919014039094,51.93081120345597,72.03289578294253,46.20831879886237,97.85747276702271,2804.331906685805,0.9622307245084952,71429.87764183259,0.8900355240399225,0.039411998425644176,136.35166274191732,5556.948194083958,1.019519292041144,148767.10382327024,0.9656178427987894,0.0829223167077863,255.84053231577346,6845.340043291979,1.0627185995916595,192154.0693776543,1.0757847594643883,0.14161587840755757,260.56823984416457,4268.556344875938,0.9763199844906286,105380.1382688862,0.8554509261331903,0.024228755008015027,251.11282478738235,17.63869934346371,15.893986407482886,19.383412279444535
Akzeptieren,6.733755474200107,7.333893457001103,6.133617491399109,58.493783839953174,45.900959413149884,69.2633843560788,68.83651337853553,69.69025533362205,3359.283190047043,1.5516653709965194,87252.48853136101,0.9674652837511953,0.1922642094279062,142.8758662750068,3493.43136085195,1.2412256915083746,95993.92484212489,0.9543750735934751,0.15081160746149871,155.0475949102438,4077.3856788565813,1.3144667120669984,116164.32110379907,1.019008496028596,0.19797693887168946,180.95064073474617,2909.477042847319,1.1679846709497508,75823.5285804507,0.8897416511583542,0.10364627605130795,129.14454908574137,14.20411560895529,17.220103227086714,11.188127990823867
Arzt,8.27686467462574,8.854821704428728,7.698907644822751,68.71139096190397,52.063043003489796,53.8258170187797,54.61797139003587,53.03366264752355,1746.5850960509263,0.934604568155777,46351.5950638378,1.599164539531032,0.3231159169883046,73.54858055884206,2323.5619623575603,1.5464935615835251,61659.86759186472,1.5403975997305794,0.2729719877358797,99.09613196462988,2220.798649091686,2.059878602607733,60829.39390896734,2.049859976416235,0.3883855481538219,94.67788735969604,2426.325275623435,1.0331085205593173,62490.34127476211,1.030935223044924,0.15755842731793757,103.51437656956371,14.800910110509832,19.700805820943973,9.901014400075692
AufgebenResignieren,10.958254291863291,9.931525091604115,11.984983492122467,54.47990005324994,45.632579016792654,67.02241712770434,63.99834543056016,70.04648882484852,3515.9494443428493,1.9373692358886956,90344.67081137314,1.1538692361644716,0.2644094827381221,157.66308823122367,5481.616239906667,1.590541891341932,128585.04112596647,1.1200271372558706,0.2377294315145681,277.02915968941494,5187.219343759433,1.8764495380079809,131359.73921002747,1.1773365607235196,0.20442807604570398,238.91960727729284,5776.013136053902,1.3046342446758832,125810.34304190546,1.0627177137882213,0.27103078698343225,315.13871210153707,23.07151128447081,24.169081430320606,21.973941138621015
AusgebenGeldVerschwenden,10.48749662565015,8.36760478136405,12.60738846993625,55.50466778157725,50.017693143589604,67.61957207217303,52.2704810132067,82.96866313113935,3124.4959888499056,1.3287993061803447,84330.58832267452,0.8948081774492934,0.13760535984017036,157.07958544662367,5195.472811118298,2.2858169799175183,142124.00990228454,0.8306197350487755,0.1903371028683232,265.25638915845633,6989.6643959707235,3.4580086124155067,203372.82170701274,0.7771456938958633,0.3146530871929151,293.0084583257118,3401.2812262658717,1.1136253474195303,80875.19809755632,0.8840937762016877,0.06602111854373127,237.5043199912009,22.918415706928208,13.926732360542706,31.91009905331371
Auto,11.773021314155605,11.059849749132079,12.486192879179137,51.062574353670506,41.43509638800549,52.70258100367156,53.85981070176236,51.545351305580766,3375.063515088139,1.7501271616148943,90643.03203997525,1.0205995140130277,0.046717951087297455,150.9324287772946,3843.006848319969,1.2251390556133281,99856.19149434334,0.989041327083801,0.0639040494407821,200.77276215769768,3917.0648716922524,1.1679608360625664,102610.29897737727,0.9952983314227998,0.062017564683154065,196.61175086027134,3768.9488249476854,1.2823172751640899,97102.0840113094,0.9827843227448022,0.06579053419841013,204.93377345512403,17.906656176963885,17.95135239358587,17.8619599603419
BesuchenEinmischen,13.507074721731827,15.411167284735942,11.602982158727718,49.805847603368,48.52443940041876,62.69338999509607,60.581621800483184,64.80515818970896,6634.057950767411,1.8958816097694082,187546.43455949548,1.1198532744591527,0.23555517527496486,240.88853394197378,14899.656048840689,2.290139011241205,429083.5071251277,1.160481033741323,0.3740475724267372,528.2871719394233,23374.244468272198,3.3425974074701847,682034.444982839,1.3803738130771843,0.6816768781454299,783.4788111740256,6425.067629409178,1.237680615012225,176132.5692674164,0.9405882544054613,0.06641826670804449,273.0955327048209,25.23566014904632,28.10581150487469,22.365508793217952
Blitz,13.230467450748478,,13.230467450748478,49.66114505976497,67.09469151710911,58.725972662669896,,58.725972662669896,6391.797619060183,1.5670926105530187,176167.64158403192,1.0852776367997745,0.12278744302732202,251.93912000475964,5176.470445194645,0.9532628063126976,141648.02201358374,1.018483294790513,0.03475496901358735,254.26921754790206,,,,,,,5176.470445194645,0.9532628063126976,141648.02201358374,1.018483294790513,0.03475496901358735,254.26921754790206,18.237609420933815,,18.237609420933815
Blume,12.754362844598115,15.119621023070707,10.389104666125522,64.61315561161892,52.83162214489645,61.93883216687424,58.577865565430976,65.29979876831752,5292.365002663871,1.3620746466369755,146051.6809414323,1.0786480008019066,0.17763469821857233,221.9885276415771,10584.175068871034,1.564335720385952,308798.8607841296,0.9672996378440928,0.21974738251580542,394.45287300480584,15907.240962530328,2.156981405115681,478967.32508706494,0.9613482123621703,0.3830560436682168,573.882558407595,5261.109175211743,0.971690035656223,138630.39648119418,0.9732510633260153,0.05643872136339407,215.02318760201678,19.123809452640323,25.06055544941434,13.1870634558663
Boese,20.208678349458303,,20.208678349458303,47.65683908118721,64.81784248851905,88.45173156389055,,88.45173156389055,9571.504535682594,1.0547139874191032,259852.50150897293,3.6003949076890134,0.6893635762175526,380.7867762244628,11289.008910608016,0.8605089389795534,234077.0169944484,2.2718432487483793,0.3319672764769799,611.3983061934686,,,,,,,11289.008910608016,0.8605089389795534,234077.0169944484,2.2718432487483793,0.3319672764769799,611.3983061934686,42.360316975899764,,42.360316975899764
