clip_id,frame_id,legacy_region_tr_hand_pve_mm,legacy_region_tr_left_hand_pve_mm,legacy_region_tr_right_hand_pve_mm,root_aligned_body_mpjpe_mm,root_aligned_body_pve_mm,root_aligned_hand_pve_mm,root_aligned_left_hand_pve_mm,root_aligned_right_hand_pve_mm,wrist_aligned_hand_pve_mm,wrist_aligned_left_hand_pve_mm,wrist_aligned_right_hand_pve_mm
Ablehnen,149,14.406890289256584,9.774726290846115,19.039054287667053,60.47721945683409,52.421233710426456,57.017036068872585,58.76644536293858,55.26762677480658,25.958845144313337,16.383997700004382,35.53369258862229
Ablehnen,151,15.831730419842806,11.286916765932238,20.376544073753376,61.046082283506,51.143294546199336,60.191274738977626,68.29832153759926,52.084227940355994,28.594060478329688,22.526951984576787,34.661168972082585
Ablehnen,153,11.65131984809867,11.180062167106522,12.122577529090819,61.564560048976105,50.342368967952076,57.087844246266165,51.09045402822709,63.08523446430524,19.493723647965837,16.155924350038667,22.831522945893006
Ablehnen,155,12.744151578315801,9.965268405651978,15.523034750979622,64.95586938708996,54.512114256176,82.38386063039906,73.12613162885472,91.64158963194339,19.08970001433515,15.652096114823113,22.52730391384719
Ablehnen,157,11.377583797630308,9.6064743082556,13.148693287005015,62.87360120067736,53.24530603436628,90.11529992564456,60.64886968434715,119.581730166942,17.279405058446244,14.296157987165628,20.262652129726863
Ablehnen,159,9.861706612781603,9.475058672108132,10.248354553455075,62.342173804086656,56.18732186391271,85.24896067700072,45.165686145252124,125.33223520874931,17.11972809074636,16.96280956687421,17.27664661461851
Ablehnen,161,8.890710923985184,8.738745883040494,9.042675964929874,64.04353764962617,58.76674309751643,80.31055591701198,42.76807830107626,117.85303353294769,15.340699253506777,15.916516447010139,14.764882060003416
Ablehnen,163,8.73150649863647,8.25057048698054,9.2124425102924,65.42676927266531,56.99765183435367,81.38570760284291,41.68713688583198,121.08427831985384,15.680716900619974,16.387686889242442,14.973746911997504
Ablehnen,165,9.12924140096075,9.536966231831917,8.721516570089582,64.2579288248227,50.1951969650102,66.76014793173168,25.63839183503344,107.88190402842993,14.318613140902553,15.064452580436289,13.572773701368817
Ablehnen,167,7.958349737986432,7.5173430857406665,8.399356390232198,65.20589279618677,50.76439942070497,71.67104650986472,37.11976352680337,106.22232949292608,13.553684489095858,13.274471039844675,13.83289793834704
Ablehnen,169,8.601649605241116,8.255354743513866,8.947944466968366,62.61614076191361,52.12308920807473,70.07355645565923,36.259685430196015,103.88742748112243,15.308473226862487,15.707353083915107,14.909593369809867
Ablehnen,171,8.716626045980355,8.061941048975653,9.371311042985056,60.92762207610139,45.23593320439366,67.47772754840892,37.8492141183563,97.10624097846156,15.551982526381629,15.519224776932,15.584740275831257
Ablehnen,173,8.688530811349624,8.662916091309782,8.714145531389466,58.954635423924366,45.437010803748485,65.5444370228345,30.248669485686584,100.84020455998242,14.957356030963819,14.950020358391985,14.964691703535655
Ablehnen,175,8.486308214771718,7.954725910854958,9.017890518688478,61.59458666832104,49.659692935548584,73.19308568568096,38.24961521387034,108.13655615749158,14.694802806022237,13.718146825504967,15.671458786539507
