method,tr_v2v_upper_body_mm,tr_v2v_left_hand_mm,tr_v2v_right_hand_mm,velocity_error,acceleration_error,jerk_error,coverage
a1_baseline,39.80241997139113,24.975074613732236,13.135792842028224,6.537679382936469,137.7111555669168,3678.6308533862425,1.0
signal4d_v5,38.727929596872045,22.833953344730926,13.137807268931724,6.523405813790471,136.8182363686205,3657.04574335361,1.0
